parameter,ertek_OPTEN0
beta,0.99
delta,0.025
sigma,1.814
habit,0.646
fii,2
rho_kz,0.8
rho_z,0.5
xi_p,0.921
vth_p,0.431
xi_x,0.81
vth_x,0.494
xi_w,0.657
vth_w,0.185
theta_w,3
lam_p,0.00756633007600434
lam_x,0.0464679012345679
lam_w,0.0260714307458143
hx,0.507
mu_x,0.534
gam_i,0.761
phi_pi,1.379
nu_b,0.001
nu_uni,0.25
om_no,0.25
eps_qw,0.96
omega_nw,0.95
om_E,0.18
om_D,0.37
om_L,0.45
phi_E,0.56
phi_D,0.05
phi_L,0.365
zeta_E,0.14
zeta_D,0.17
zeta_L,0.155
aa_E,0.45
aa_D,0.8
aa_L,0.6
chi_E,0.06
chi_D,0.06
chi_L,0.02
lev_E,1.6
lev_D,1.6
lev_L,1.85
psi_E,8
psi_D,8
psi_L,13
tsov_E,0.175
tsov_D,0.175
tsov_L,0.175
tbank_E,0.45
tbank_D,0.45
tbank_L,0.45
wd_E,0.110545048503036
wd_D,0.490613441272943
wd_L,0.398841510224021
wx_E,0.355492858402398
wx_D,0.0652442250044084
wx_L,0.579262916593193
shl_E,0.2
shl_D,0.5
shl_L,0.3
shm_E,0.280453257790368
shm_D,0.209631728045326
shm_L,0.509915014164306
s_kkv,0.05
mu_vert,0.5
zsov,0.5
eps_ces,6
rho_acc,0.85
lambda_acc_E,2
lambda_acc_D,2.5
omega_acc_E,0.35
omega_acc_D,0.45
sc,0.54
si,0.23
sg,0.1
sx,0.6
sm,0.47
shd_c,0.650609756097561
shd_i,0.177439024390244
shd_g,0.141951219512195
shd_v,0.03
rho_a,0.552
rho_x,0.625
rho_c,0.767
rho_w,0.661
rho_i,0.488
rho_pr,0.82
rho_mx,0.318
rho_g,0.8
