id,allitas,statusz,bizonyitek,or,datum,megjegyzes
A01,"Az euró tartós aggregált GDP-hatása POZITÍV, +0,3% … +2,9% — minden modellverzión, szcenárión és kalibrációs ágon.",áll,"t44, t47",t47: mind a 36 kombinacio BK-stabil,2026-08-16,"A SÁV 2026-08-16-án módosult: korábban +0,27…+1,04% volt (lásd V01). A felső vég a hozzáférési csatorna perzisztenciáján múlik."
A02,"Az exportáló KKV hitelhozzáférése 13-szorosa a hazai KKV-énak (61,9% vs 4,8%).",áll,t37 (s14),t37: az export-KKV hozzaferese 13x a hazaie,2026-08-12,Saját mérés az Opten-panelből; a projekt egyik legerősebb saját ténye.
A03,"A nagyvállalati hitelhozzáférés 43,4% — ALACSONYABB, mint az export-KKV-ké.",áll,t37 (s14),t37: a nagyvallalati hozzaferes ALACSONYABB az export-KKV-enal,2026-08-12,"Cáfolja a ""nagyvállalatnak mindig van hitele"" narratívát; az omega_acc_L=0 feltevést gyengíti."
A04,"A magyar KKV-hitelpiac 2021–24-ben PROGRAMVEZÉRELT volt: a BUBOR 12,8 pontot mozgott, a hozzáférési arányok legfeljebb 2,2-t (a hazai KKV-nál mindössze 0,6-ot).",áll,t37 (s14),t37 PROGRAMVEZERELTSEG: a BUBOR,2026-08-12,"Ez a projekt legfontosabb azonosítási korlátja — ebből következik V03, V04 és részben V06. JAVÍTVA 2026-08-16: a korábbi doksiszöveg „kevesebb mint 2 pontot” mondott, a tényleges maximum 2,2 pp (export-KKV). Az állapotlap konzisztencia-ellenőrzése fogta el."
A05,"A hazai KKV hozzáférése MONOTON NŐTT a kamatcsúcs felé (4,5% → 5,1%).",áll,t37 (s14),t37: a hazai KKV hozzaferese NOTT a kamatcsucs fele,2026-08-12,"A támogatott programok épp akkor bővültek, amikor a piaci kamat tetőzött."
A06,"Az ACCSCALE magyar 2021–24-es adatból NEM horgonyozható. (Negatív eredmény, de eredmény.)",áll,"t36, t37",t45b: veges access-kuszob a JV-magon,2026-08-12,Következmény: a szektorális állítás küszöbformában közlendő. Doksi: 2026-08-12_access_horgonyzas_eredmeny.md
A07,"A tőkeáttétel sorrendje lev_L > lev_E > lev_D (2,34 > 1,94 > 1,72), és a SORREND mérőfüggetlen.",áll,t50,t50: a tokeattetel-sorrend L > E > D,2026-08-16,"A SZINT mérőfüggő, ezért sávban közlendő: lev_E 1,68–1,94 · lev_D 1,58–1,72 · lev_L 1,81–2,34."
A08,A lev_E = lev_D kényszerített egyenlőség NEM ÁLL: az exportáló KKV tőkeáttételesebb.,áll,"t46, t50",t46: a lev_E = lev_D kenyszeritett egyenloseg NEM ALL,2026-08-16,A teendőlista 1. prioritásának nevesített részfeladata volt.
A09,"A negyedéves értékcsökkenési ráta 0,024–0,025 — két független forrás egyezik.",áll,t46; Christensen–Dib (2008) 1. tábla,t46: delta megerositi az atvett 0.0250-et,2026-08-16,"Opten-panel 0,0242; C&D 0,025. Az átvett modellérték helyes volt."
A10,"A nagyvállalati exportárbevétel-arány phi_L ≈ 0,365.",áll,t46,t46: phi_L megerositi az atvett 0.365-ot,2026-08-16,Négy tizedesig egyezik az átvett értékkel — az valószínűleg már ebből a panelből származott.
A11,"A hitelhozzáférési státusz negyedéves perzisztenciája legalább 0,967.",áll,t46c,t49b: a kuszob MONOTON csokken a rho_acc-ban,2026-08-16,ALSÓ KORLÁT: cég-szintű perzisztencia; a modell szegmens-szintű acc_j-je ennél perzisztensebb.
A12,A fő modell BK-stabil minden szcenárió × transzmisszió × kalibrációs ág kombinációban (36/36).,áll,t47,t47: mind a 36 kombinacio BK-stabil,2026-08-16,"Beleértve az OPTEN=1 ágat, ahol phi_D = 0 pontosan."
A13,"Az access-csatorna egzaktul beágyazott: ACCSCALE=0 mellett a v09 PONTOSAN a v08-at adja (eltérés 0,0e+00).",áll,t45b,t45b NESTING: ACCSCALE=0 == v08,2026-08-12,"Független verifikáció, nem BK-teszt."
A14,"A modell átment 17/17 független azonosság-ellenőrzésen (szimmetria 1e−16, aggregáció 1e−19, nulla-sokk pontosan 0).",áll,t43,t43: mind a 17 fuggetlen ellenorzes atment,2026-08-12,"Ezek olyan hibát fognak el (elgépelt index, felcserélt súly), amit a BK-teszt nem."
A15,"Az implicit_kamatrata oszlop TORZÍT minden olyan regresszióban, ahol a magyarázó változó együtt mozog a hitelállomány változásával.",áll,t50b,t50b: a chi elojele atfordul a nevezo javitasaval,2026-08-16,"Módszertani figyelmeztetés a panel egészére. A nevező év végi állomány, a számláló évközi kamat."
