rho_keres,ACCNORM,SCENARIO,TSCEN,solver_ok,bk_terminal_check_ok,bk_terminal_ok,bk_initial_check_ok,bk_initial_ok,n_forward,n_unstable_terminal,n_unstable_initial,bk_qz_criterium,bk_info_code_terminal,nearest_unit_complex_terminal,rho_tenyleges,GDP_pct,y_E_pct,y_D_pct,y_L_pct,KKV_minus_L_pp,hiba
0.85,0,1,1,1,1,1,1,1,13,13,13,1.000001,0,0.972848185496405,0.85,0.627807683500398,1.01124149261943,2.15446632271382,-0.608487815972929,2.09895335648826,
0.85,0,1,2,1,1,1,1,1,13,13,13,1.000001,0,0.972848185496405,0.85,0.69395571965076,-0.00167519124846077,0.841240945297865,0.258575295563519,0.0930883074120319,
0.85,0,1,3,1,1,1,1,1,13,13,13,1.000001,0,0.972848185496405,0.85,0.660881701575579,0.504783150685484,1.49785363400584,-0.174956260204705,1.09602083195014,
0.85,0,2,1,1,1,1,1,1,13,13,13,1.000001,0,0.972848185496405,0.85,0.854183949681403,1.37161995524775,2.92125423588854,-0.820576909059041,2.84178213675544,
0.85,0,2,2,1,1,1,1,1,13,13,13,1.000001,0,0.972848185496405,0.85,0.94314165346982,0.00942165625300138,1.1551925214326,0.345473482317561,0.144239484549484,
0.85,0,2,3,1,1,1,1,1,13,13,13,1.000001,0,0.972848185496405,0.85,0.898662801575612,0.690520805750375,2.03822337866057,-0.23755171337074,1.49301081065246,
0.85,0,3,1,1,1,1,1,1,13,13,13,1.000001,0,0.972848185496405,0.85,0.401431417319393,0.650863029991107,1.38767840953911,-0.396398722886817,1.35612457622107,
0.85,0,3,2,1,1,1,1,1,13,13,13,1.000001,0,0.972848185496405,0.85,0.444769785831699,-0.0127720387499233,0.527289369163133,0.171677108809477,0.0419371302745794,
0.85,0,3,3,1,1,1,1,1,13,13,13,1.000001,0,0.972848185496405,0.85,0.423100601575546,0.319045495620592,0.957483889351119,-0.11236080703867,0.699030853247826,
0.85,1,1,1,1,1,1,1,1,13,13,13,1.000001,0,0.93030421226937,0.85,0.366903864693754,0.175885273226984,0.795910997285906,-0.045720244912449,0.481511732089116,
0.85,1,1,2,1,1,1,1,1,13,13,13,1.000001,0,0.93030421226937,0.85,0.544802992624152,-0.472758893837735,0.173104748159933,0.553143874735104,-0.755165656537444,
0.85,1,1,3,1,1,1,1,1,13,13,13,1.000001,0,0.93030421226937,0.85,0.455853428658953,-0.148436810305376,0.48450787272292,0.253711814911327,-0.136826962224165,
0.85,1,2,1,1,1,1,1,1,13,13,13,1.000001,0,0.93030421226937,0.85,0.500077374622283,0.237744876466483,1.07563269783944,-0.0563340608876147,0.645309931355401,
0.85,1,2,2,1,1,1,1,1,13,13,13,1.000001,0,0.93030421226937,0.85,0.739321029425232,-0.634569693034347,0.238065673152788,0.749034927603921,-1.0178079361079,
0.85,1,2,3,1,1,1,1,1,13,13,13,1.000001,0,0.93030421226937,0.85,0.619699202023757,-0.198412408283933,0.656849185496115,0.346350433358153,-0.186249002376251,
0.85,1,3,1,1,1,1,1,1,13,13,13,1.000001,0,0.93030421226937,0.85,0.233730354765226,0.114025669987486,0.516189296732371,-0.0351064289372831,0.317713532822829,
0.85,1,3,2,1,1,1,1,1,13,13,13,1.000001,0,0.93030421226937,0.85,0.350284955823073,-0.310948094641123,0.108143823167078,0.357252821866286,-0.492523376966985,
