negyedev,szcenario,y,y_S,y_L,ii,i_S,i_L,c,nn,efp_S,efp_L,nw_S,nw_L,infl,r,rer,xx,sov,bank
1,alap,0.000185137396416065,0.000191440897889746,0.00017743311683712,0.00322172591758604,0.00390650975709578,0.00253694207807629,-0.000251490137312385,0.000279460542647699,-0.000311859148521451,-0.000105529018333385,0.0140199229453577,0.0104322296638119,-0.000135478023633225,-3.60149721795658e-05,0.000117921908545264,0.000117921908545264,-0.00025,0
2,alap,0.000295959206507419,0.000310749056632273,0.000277882723021485,0.00338143287347833,0.00406890060051901,0.00269396514643766,-0.000412645159934077,0.000406044971729208,-0.000288191753630958,-0.000110392197057439,0.0128449008923372,0.00972515093090038,-0.000110455339664452,-5.45495994803027e-05,0.00018850904873084,0.00018850904873084,-0.0005,0
3,alap,0.00036350786684529,0.000387958474340941,0.000333623791017272,0.00353730817192221,0.0042325911393241,0.00284202520452032,-0.000515630279532877,0.00046772321609732,-0.000270159052990785,-0.00011631551543259,0.0117646043822013,0.00904487909802691,-0.000103666580662225,-6.56519571117778e-05,0.000231533673149866,0.000231533673149866,-0.00075,0
4,alap,0.000410458475620755,0.00044520820832758,0.000367986580090191,0.00369501860312853,0.00440263807514257,0.0029873991311145,-0.000580249008482144,0.000498116517837177,-0.00025619616697447,-0.000122909301735041,0.0107657324025452,0.00838821062475279,-0.000103006230961243,-7.31619730872761e-05,0.000261438519503665,0.000261438519503665,-0.001,0
5,alap,0.000447790677914486,0.000493204978563113,0.000392284310455051,0.00385717080414836,0.00458124345942456,0.00313309814887216,-0.000619058662782384,0.000513453237036447,-0.000245364900936783,-0.000129970701960982,0.00983802760861676,0.00775278699571581,-0.00010527925290851,-7.89185873945116e-05,0.00028521699230222,0.00028521699230222,-0.00125,0
6,alap,0.000480827695711029,0.000537144716902201,0.000411995780921819,0.00402493865310973,0.00476930104385225,0.0032805762623672,-0.000640215910089141,0.000521562247206093,-0.000237046368805072,-0.000137387376934236,0.008973171578762,0.0071367241372336,-0.000108966140911567,-8.38040197963035e-05,0.000306259678796834,0.000306259678796834,-0.0015,0
7,alap,0.00051215272261145,0.000579562904280608,0.000429762500571368,0.00419884402764529,0.00496713610336169,0.00343055195192889,-0.000649115871027042,0.000526210665928698,-0.000230790860300319,-0.000145091103688976,0.00816420251924019,0.00653842961541,-0.000113354580680448,-8.82457719758912e-05,0.000326211925230223,0.000326211925230223,-0.00175,0
8,alap,0.000543017249095442,0.00062170549113539,0.000446842731046617,0.00437913034468457,0.00517485778534658,0.00358340290402257,-0.000649370729242672,0.000529195134268808,-0.000226243619578809,-0.000153035409937684,0.0074051902856217,0.00595651051990612,-0.000118121344180397,-9.2457589607446e-05,0.00034587085929646,0.00034587085929646,-0.002,0
9,alap,0.000574019850318046,0.00066418594870252,0.000463816841181467,0.00456594052606035,0.0053925257640913,0.0037393552880294,-0.000643414510599802,0.000531347336534972,-0.000223107340097475,-0.000161184777925623,0.00669104046958082,0.00538972526094534,-0.000123130686576499,-9.65547814009552e-05,0.00036561773905608,0.00036561773905608,-0.00225,0
10,alap,0.000605430274062524,0.00070729564770834,0.000480928150717637,0.00475940124339149,0.00562022828281194,0.00389857420397103,-0.000632888854898574,0.000533011894838882,-0.000221122486241463,-0.000169509418003857,0.00601736528915362,0.00483695675069379,-0.000128336294657053,-0.000100608956666317,0.000385624378383773,0.000385624378383773,-0.0025,0
