or,rendben,idopont
"opten_panel.csv letezik",1,2026-08-16 15:37
"panel sorszam = 150982 (tenyleges: 150982)",1,2026-08-16 15:37
"irf_v01.csv letezik",1,2026-08-16 15:37
"aszimmetria: |i_S| > |i_L| banki sokkra",1,2026-08-16 15:37
"aszimmetria: |efp_S| > |efp_L|",1,2026-08-16 15:37
"szcenario_v03_hosszutav letezik",1,2026-08-16 15:37
"alap hosszu tavu GDP plauzibilis (0.492%)",1,2026-08-16 15:37
"KKV-tobblet minden szcenarioban (y_S > y_L)",1,2026-08-16 15:37
"szcenario-sorrend: opt > alap > pessz",1,2026-08-16 15:37
"t09 lekepezes letezik",1,2026-08-16 15:37
"t09: 3 szcenario x 5 szegmens",1,2026-08-16 15:37
"t09: minden szegmensben kamatCSOKKENES",1,2026-08-16 15:37
"t21 jv_v05 hosszutav letezik",1,2026-08-16 15:37
"v05 alap GDP plauzibilis (0.426%)",1,2026-08-16 15:37
"v05 realarfolyam plauzibilis (0.8%) - unio-zaras OK",1,2026-08-16 15:37
"v05: meret-aszimmetria minden szcenarioban (i_S > i_L)",1,2026-08-16 15:37
"t22 v05-lekepezes letezik",1,2026-08-16 15:37
"t22: 3 szcenario x 5 szegmens",1,2026-08-16 15:37
"t22: a KKV hitelfelar-nyeresege > nagyvallalatie (modell-eredmeny)",1,2026-08-16 15:37
"t34 jv_v06 hosszutav letezik",1,2026-08-16 15:37
"v06 alap GDP plauzibilis (0.428%)",1,2026-08-16 15:37
"v06: efp_S =/= efp_L a hosszu tavon (-1.01 bp) - a kozos-rk patologia megoldva",1,2026-08-16 15:37
"v06: rk_S =/= rk_L (-0.25 pp) - szegmens-specifikus tokehozam",1,2026-08-16 15:37
"v06 aggregalt GDP = v05 (0.428% vs 0.426%) - a termelesi atalakitas nem mozditotta el",1,2026-08-16 15:37
"t35 v06 chi/psi dekompozicio letezik",1,2026-08-16 15:37
"t35: mind a 7 eset konvergalt",1,2026-08-16 15:37
"t35: a psi_i a steady state-et nem erinti (q=0) - Euler OK",1,2026-08-16 15:37
"t35: chi forditasa MEGFORDITJA a szegmens-sorrendet",1,2026-08-16 15:37
"t29 v07_access hosszutav letezik",1,2026-08-16 15:37
"v07 alap GDP plauzibilis (0.764%)",1,2026-08-16 15:37
"v07 replikacio: y_D=0.870% (kozolt 0.870), y_L=0.772% (kozolt 0.772)",1,2026-08-16 15:37
"t33 v07 kuszob-osszefoglalo letezik",1,2026-08-16 15:37
"t33 replikacio: a KKV>=L kuszob ~101 (a baseline 100 -- borotvael!)",1,2026-08-16 15:37
"t39b calib-kuszob osszegzes letezik",1,2026-08-16 15:37
"t39b: a CALIB=1 ag reprodukalja a kozolt kuszobet (101.0)",1,2026-08-16 15:37
"t39b: JV-keszlettel a kuszob 100 ALATT (94.2) - a szektoralis sorrend megfordul",1,2026-08-16 15:37
"t40 jv_3type stresszteszt letezik",1,2026-08-16 15:37
"t40: mind a 18 kombinacio BK-stabil (2. lepcso ATMENT)",1,2026-08-16 15:37
"t40: realarfolyam es NFA plauzibilis savban",1,2026-08-16 15:37
"t40: a tipus-kibocsatas sorrendje a phi_j sorrendje (dokumentalt KORLAT, nem eredmeny)",1,2026-08-16 15:37
"t41 jv_3type_arak stressz letezik",1,2026-08-16 15:37
"t41: mind a 18 kombinacio BK-stabil (3. lepcso ATMENT - az arszint-szetvalasztas nem tori el a JV-magot)",1,2026-08-16 15:37
"t41: relativar-normalizacio tart (max 6.9e-18) - v01 egyseggyok elkerulve",1,2026-08-16 15:37
"t41: realarfolyam es NFA plauzibilis savban",1,2026-08-16 15:37
"t42 eps_ces erzekenyseg letezik",1,2026-08-16 15:37
"t42: az aggregalt GDP eps_ces-re ERZEKETLEN (sav 0.008 pp)",1,2026-08-16 15:37
"t42: az y_E ELOJELE eps_ces-fuggo (dokumentalt KORLAT, kuszobforma kell)",1,2026-08-16 15:37
"t43 fuggetlen ellenorzes letezik",1,2026-08-16 15:37
"t43: mind a 17 fuggetlen ellenorzes atment",1,2026-08-16 15:37
"t43 SZIMMETRIA: azonos parameterek -> azonos tipusok (max 4.4e-16)",1,2026-08-16 15:37
"t43 NULLA-SOKK: sokk nelkul minden valtozo 0",1,2026-08-16 15:37
"t44 jv_access stressz letezik",1,2026-08-16 15:37
"t44: mind a 18 kombinacio BK-stabil (4. lepcso)",1,2026-08-16 15:37
"t44: realarfolyam es NFA plauzibilis savban",1,2026-08-16 15:37
"t45b jv_access kuszob letezik",1,2026-08-16 15:37
"t45b NESTING: ACCSCALE=0 == v08 (elteres 0.0e+00)",1,2026-08-16 15:37
"t45b: veges access-kuszob a JV-magon (ACCSCALE=36.3)",1,2026-08-16 15:37
"t46 opten-kalibracio letezik",1,2026-08-16 15:37
"t46: mind a 14 parameter megvan (14)",1,2026-08-16 15:37
"t46: az om_j es az shl_j sulyok 1-re osszegzodnek",1,2026-08-16 15:37
"t46: phi_L = 0.3649 megerositi az atvett 0.365-ot",1,2026-08-16 15:37
"t46: delta = 0.0242 megerositi az atvett 0.0250-et",1,2026-08-16 15:37
"t46: a lev_E = lev_D kenyszeritett egyenloseg NEM ALL (1.939 vs 1.719)",1,2026-08-16 15:37
"t47 opten stressz letezik",1,2026-08-16 15:37
"t47: mind a 36 kombinacio BK-stabil (az OPTEN=1 phi_D=0 is)",1,2026-08-16 15:37
"t47 SZINT: az aggregalt GDP-sav az A01-ben kozolt +0,3...+2,9%-on belul (0.52% ... 2.89%)",1,2026-08-16 15:37
"t47 REGRESSZIO: OPTEN=0 == t44 baseline (elteres 0.0e+00)",1,2026-08-16 15:37
"t48b opten-kuszob letezik",1,2026-08-16 15:37
"t48b: minden agon letezik veges kuszob",1,2026-08-16 15:37
"t48b: a kuszob-sorrend D < sulyozott KKV < E minden agon",1,2026-08-16 15:37
"t48b: az empirikus horgony LEVISZI a kuszobot (36.5 -> 22.3)",1,2026-08-16 15:37
"t48b SZINT: a kuszobok az F01-ben kozolt szamokon (36.5 / 22.3)",1,2026-08-16 15:37
"t49b rho_acc erzekenyseg letezik",1,2026-08-16 15:37
"t49b: a kuszob MONOTON csokken a rho_acc-ban (47.8 -> 17.5)",1,2026-08-16 15:37
"t49b: a GDP-hatas MONOTON no a rho_acc-ban",1,2026-08-16 15:37
"t49b KORLAT: a horgonyzott rho_acc mellett a GDP-hatas TULMEGY a korabbi savon (1.75% > 1.04%)",1,2026-08-16 15:37
"t37 access szegmens-evek letezik",1,2026-08-16 15:37
"t37: az export-KKV hozzaferese 13x a hazaie (12.8x: 61.9% vs 4.8%)",1,2026-08-16 15:37
"t37: a nagyvallalati hozzaferes ALACSONYABB az export-KKV-enal (43.5% < 61.9%)",1,2026-08-16 15:37
"t37 PROGRAMVEZERELTSEG: a BUBOR 12.8 pontot mozgott, a hozzaferes legfeljebb 2.2-et",1,2026-08-16 15:37
"t37: a hazai KKV hozzaferese NOTT a kamatcsucs fele (4.5% -> 5.1%)",1,2026-08-16 15:37
"t50 bgg-blokk letezik",1,2026-08-16 15:37
"t50: a tokeattetel-sorrend L > E > D (2.337 > 1.939 > 1.719)",1,2026-08-16 15:37
"t50: mindharom lev az irodalmi k/n = 2 kornyeken (+-0.4)",1,2026-08-16 15:37
"t50 SZINT: a lev_j ertekek az A07-ben kozolt szamokon (1.939 / 1.719 / 2.337)",1,2026-08-16 15:37
"t50b chi-specifikaciok letezik",1,2026-08-16 15:37
"t50b: a chi elojele atfordul a nevezo javitasaval (A: -0.01167 -> C: +0.00857) - a negativ eredmeny mutermek volt",1,2026-08-16 15:37
"t00 SZERKEZET: mind a 4 modell-vonal megvan, README-vel",1,2026-08-16 15:37
"t00 SZERKEZET: a FO MODELL a helyen van (1_fo_vonal_jv)",1,2026-08-16 15:37
