szcenario,besorolas,ceg_ev,median_implicit_rata_pct,bp_hosszutav,bp_sav_also,bp_sav_felso,bp_10ev
alap,A,10592,3.6757503977455,-41.4029512496488,-20.7041276132885,-83.2571839647187,-26.0093406199862
alap,B,2375,4.32074887822992,-48.6680910861224,-22.6469929209239,-100.104113566604,-30.5733026312758
alap,C,286,4.92568896107323,-55.4820207735902,-23.3405667289475,-120.969324383274,-34.8538143545432
alap,D,28,3.91205015981949,-44.0645866902526,-14.9574633667822,-132.113409710364,-27.6813804309521
alap,AVG,1431,4.5420053409605,-51.1602816727635,-24.2853372038077,-108.207101013083,-32.1388971577873
optimista,A,10592,3.6757503977455,-56.1894234532393,-28.0983108348549,-112.991297096424,-34.9500591034376
optimista,B,2375,4.32074887822992,-66.049204130639,-30.7350427147896,-135.854866786888,-41.0828843976645
optimista,C,286,4.92568896107323,-75.2966314041471,-31.6763164940457,-164.171789388605,-46.8348232840426
optimista,D,28,3.91205015981949,-59.8016239446597,-20.2993075985029,-179.29582549094,-37.1968630909118
optimista,AVG,1431,4.5420053409605,-69.4314449606364,-32.9584982389638,-146.85172037158,-43.186652502864
pesszimista,A,10592,3.6757503977455,-26.6164790460583,-13.3099443917222,-53.5230708330134,-17.068622136535
pesszimista,B,2375,4.32074887822992,-31.2869780416057,-14.5589431270582,-64.3533603463194,-20.0637208648872
pesszimista,C,286,4.92568896107323,-35.6674101430333,-15.0048169638493,-77.7668593779421,-22.8728054250439
pesszimista,D,28,3.91205015981949,-28.3275494358455,-9.61561913506156,-84.9309939297875,-18.1658977709926
pesszimista,AVG,1431,4.5420053409605,-32.8891183848905,-15.6121761686515,-69.5624816545868,-21.0911418127108
