negyedev,szcenario,y,c,ii,i_S,i_L,efp_S,efp_L,xx,infl,r,rer,dep
1,alap,-0.0098869649799335,4.79818914076204e-05,0.00488836932750215,0.00501169965023589,0.0047650390047684,0.000172850893448876,5.94689419105261e-05,-0.013532826648704,-0.00100328763280975,-0.000330664541309071,-0.0548565307528809,-0.0558598183856906
2,alap,-0.0092272010775043,0.00257507144776748,0.00993672352363394,0.010217073808917,0.00965637323835091,0.000219005326840649,7.24359571377551e-05,-0.018998083777082,-0.00134685065395547,-0.000695532101317501,-0.0537026705459696,-0.000192990447044253
3,alap,-0.00779956555726884,0.00485960072994462,0.0149864916820897,0.0154546552669807,0.0145183280971987,0.000252392664002696,8.09682494976596e-05,-0.0205430752774325,-0.00141317863442169,-0.000995056756613954,-0.0527144451487714,-0.000424953237223418
4,alap,-0.00617492973729889,0.00680944970505761,0.0199018613498713,0.020584228099994,0.0192194945997486,0.000268373968940702,8.33691554682929e-05,-0.0203822438836927,-0.00137204605708482,-0.00120943850332329,-0.0519375252886137,-0.000595126196927196
5,alap,-0.00461858343362845,0.00840709644540799,0.0245769629123115,0.0254942724506097,0.0236596533740133,0.000269680610413613,8.04043188857385e-05,-0.0196279108933005,-0.00129842819125415,-0.00134831996273076,-0.0513218189996539,-0.000682721902294359
6,alap,-0.00323243870614204,0.00967591647718493,0.0289337102565418,0.0301001987741769,0.0277672217389068,0.000261041414152805,7.35528909197958e-05,-0.0187894125966638,-0.00122472370770884,-0.00142971715594849,-0.0507937295439248,-0.000696634251979708
7,alap,-0.0020371262033013,0.0106576113233201,0.0329165181328803,0.0343394001313284,0.0314936361344321,0.0002470299274336,6.42941964316332e-05,-0.0180622043820671,-0.00116406756567677,-0.00147166930804012,-0.0502839964302676,-0.000654334452019522
8,alap,-0.00101741471255719,0.0113985844567876,0.0364865389967635,0.0381657101484117,0.0348073678451153,0.000231329883605334,5.38537518688744e-05,-0.0174893320554401,-0.00112084342842228,-0.00148934904140137,-0.0497366288495553,-0.000573475847710068
9,alap,-0.00014607486075221,0.0119425088928704,0.039616449303835,0.0415442968765488,0.0376886017311212,0.000216603402889447,4.31472229915077e-05,-0.0170479561921369,-0.00109547884007176,-0.00149444363209614,-0.0491101126499481,-0.00046896264046446
10,alap,0.000604472206571888,0.0123268253590724,0.0422860990285569,0.0444473260865517,0.040124871970562,0.000204593991297051,3.28037688479341e-05,-0.0166932729456468,-0.00108665620922498,-0.00149541284411774,-0.0483757538804129,-0.000352297439689817
11,alap,0.00125714900612237,0.0125815684460687,0.0444790331566193,0.0468504266536902,0.0421076396595484,0.000196300963194379,2.32156228549071e-05,-0.0163790508213035,-0.00109233766916219,-0.00149802291571374,-0.0475152296844259,-0.000231813473175186
12,alap,0.00182863958687855,0.0127294717469548,0.0461797771071938,0.0487298719454571,0.0436296822689306,0.000192155837731302,1.45908933297062e-05,-0.0160658710670984,-0.00111023567335843,-0.0015059080223193,-0.0465181839005766,-0.00011318988950918
13,alap,0.00232943317905818,0.0127867039600113,0.0473717460279261,0.0500603552262214,0.0446831368296308,-3.90757484543386e-05,-0.000102374552429389,-0.0157232755977232,-0.00113801998740831,-0.00176868121200551,-0.0453801639131683,0
14,alap,0.0027227446849352,0.0127146092430523,0.0480356423553126,0.0508132374962969,0.0452580472143283,-0.000275066677015075,-0.000221861323912993,-0.015357025783444,-0.00117339794001603,-0.00197780651920741,-0.0442067659731523,0
15,alap,0.00300616814817142,0.0125060258458773,0.0481817964448592,0.050993665216765,0.0453699276729533,-0.00051426052741657,-0.000343058715580431,-0.0149645206577004,-0.0012138980915418,-0.00218700789798152,-0.0429928678816105,0
16,alap,0.00318427779564329,0.0121619835883626,0.0478462228182033,0.0506369362842829,0.0450555093521238,-0.000758533751589983,-0.000466296886506165,-0.0145415643891191,-0.00125705498939482,-0.00239673790350543,-0.0417358128922157,0
17,alap,0.00326708798449947,0.0116891626806598,0.0470910564608153,0.0498092301623618,0.0443728827592688,-0.000716130153064606,-0.000457589041379909,-0.0140853110923246,-0.00130054975093188,-0.00235735888383872,-0.0404352631412838,0
18,alap,0.00328710158425424,0.0111403169058314,0.0460054979068632,0.0486089227073293,0.043402073106397,-0.000675761465992494,-0.000448488053353309,-0.0135952688671782,-0.00134232365699801,-0.00231909128044778,-0.0390929394842858,0
19,alap,0.0032682100911372,0.0105526103994379,0.0446698239044129,0.0471245989745941,0.0422150488342316,-0.000637166983961482,-0.000438992879211581,-0.0130732880783148,-0.0013807065231323,-0.00228205480078908,-0.0377122329611535,0
20,alap,0.00322794686682069,0.0099520020964546,0.0431551571569875,0.0454348724756182,0.0408754418383568,-0.000600222066178795,-0.000429145057132093,-0.0125230930151512,-0.00141444620277952,-0.00224629939769607,-0.036297786758374,0
21,alap,0.0031790933734659,0.00935637310196106,0.0415235159561756,0.043608476745885,0.0394385551664661,-0.000564895586122122,-0.000419015165239378,-0.0119496744707889,-0.00144268654037211,-0.00221182770482869,-0.0348551002180019,0
22,alap,0.00313084676901076,0.0087777287178559,0.0398280840609429,0.0417045729494711,0.0379515951724147,-0.000531215930500736,-0.000408691735489447,-0.0113587069517804,-0.001464922027318,-0.00217861105527639,-0.0333901781906839,0
23,alap,0.00308968061426252,0.00822376475594278,0.0381136478657345,0.0397732229359089,0.0364540727955601,-0.000499244614502259,-0.000398272426270643,-0.0107560622783682,-0.00148094401414533,-0.00214660084000456,-0.0319092341765385,0
24,alap,0.00305998789203155,0.00769900078173628,0.0364171548415538,0.0378559833044366,0.0349783263786709,-0.000469056395795822,-0.000387857175955216,-0.0101474402290981,-0.00149078606204826,-0.00211573652455745,-0.0304184481144903,0
25,alap,0.00304456805636939,0.00720561541542355,0.0347683539488625,0.0359865821169605,0.0335501257807644,-0.000440724796775594,-0.000377543049481731,-0.00953811104414744,-0.00149467225920322,-0.00208595128065017,-0.0289237758552871,0
26,alap,0.00304500110704164,0.00674407304489425,0.0331904849992757,0.0341916457003895,0.032189324298162,-0.000414312044986408,-0.000367420506528475,-0.00893275345574482,-0.00149297036122761,-0.00205717591631096,-0.0274308054940595,0
27,alap,0.00306193873187148,0.00631360130242069,0.0317009896940447,0.032491448376397,0.0309105310116924,-0.000389862562890811,-0.000357570845697959,-0.00833536875778723,-0.00148615055130686,-0.00202934158966373,-0.0259446549427526,0
28,alap,0.00309533357951166,0.00591255915442212,0.0303122222570739,0.0309006628955596,0.0297237816185881,-0.000367399259067497,-0.00034806460728238,-0.00774925224243217,-0.00147475001851162,-0.00200238164975721,-0.024469904924241,0
