negyedev,y_eps_x,y_d_eps_x,y_x_eps_x,i_S_eps_x,i_L_eps_x,efp_S_eps_x,efp_L_eps_x,h_dx_eps_x,xx_eps_x,mcx_rel_eps_x,y_eps_r,y_d_eps_r,y_x_eps_r,i_S_eps_r,i_L_eps_r,efp_S_eps_r,efp_L_eps_r,h_dx_eps_r,xx_eps_r,mcx_rel_eps_r
1,-0.0356621080280523,-0.000856987499290343,-0.0387149272945543,-0.0173503304223418,-0.0124043542005136,0.00147703157282068,0.000625580173595684,-0.0627255379167049,-0.0387149272945543,-0.101471254539519,-0.0146221660405829,-0.00494105464176585,-0.0188391329964334,-0.0104127239742768,-0.00606786220705216,0.000887184231099152,0.000372875756870083,-0.0255355115907256,-0.0188391329964334,-0.0326941484400753
2,-0.0332940993397627,0.00814221196496237,-0.0625010924305541,-0.0306724935794857,-0.0226387465625759,0.0015131223494017,0.000647078443918927,-0.0789514371523395,-0.0625010924305541,-0.0784621561203906,-0.0146627440347852,-0.0038014401051744,-0.0261310762519202,-0.0178739841788403,-0.010585658111088,0.000972386000664949,0.000410628959637861,-0.0299421473162392,-0.0261310762519202,-0.0258233923632412
3,-0.0316495767469935,0.0150785541263454,-0.0759410187487959,-0.0407489918768887,-0.0311310672335874,0.00149198898317189,0.000648617558764622,-0.0857768675266003,-0.0759410187487959,-0.0574550538010464,-0.0138209298753501,-0.00191385655241156,-0.0279750273576721,-0.0230069549471119,-0.0139091773539775,0.00100384643763013,0.000430552739599597,-0.0294306455712316,-0.0279750273576721,-0.0191338382442838
4,-0.0305705473507881,0.0202794941080395,-0.08305245125966,-0.0482535683957479,-0.0382381891258839,0.00141198210029035,0.000628770542265266,-0.0878658454857457,-0.08305245125966,-0.040467902926138,-0.0127875075489014,1.99948366676533e-05,-0.0275527101255003,-0.0263382731319284,-0.0163294153985275,0.000987511303987175,0.000433816628898869,-0.0273283766993082,-0.0275527101255003,-0.0135351917369366
5,-0.0299974507804915,0.0240348091787876,-0.0866405268526908,-0.0537280841904826,-0.0442345656311376,0.00128724845020687,0.000591610418395765,-0.0879864418430787,-0.0866405268526907,-0.0276381397899802,-0.011862326647439,0.00170816295734884,-0.0264288848813745,-0.0282934313989292,-0.0180723780678849,0.000935355366934542,0.000423832150514719,-0.0251351653045734,-0.0264288848813744,-0.00921970348970974
6,-0.0298561929722132,0.0266313022507627,-0.0884377722014624,-0.0575945032091637,-0.0493225990977062,0.00113459278748166,0.000542374527486004,-0.0875802744875758,-0.0884377722014624,-0.0183915102938969,-0.0111441837289477,0.00306793409251687,-0.0253037369281729,-0.0292079522410052,-0.0193083496259141,0.000859549803129946,0.000404301773073225,-0.023416685670367,-0.0253037369281728,-0.00607149798367036
7,-0.0300499586829114,0.0283414374392198,-0.0894187495292444,-0.0601772883053349,-0.0536487562693478,0.000968616131501858,0.000485804757004918,-0.0872854577221127,-0.0894187495292444,-0.0119667157076203,-0.010636727545028,0.0041140304324997,-0.0244366102103419,-0.0293429815847177,-0.0201633124904335,0.000770346412598974,0.000378473365818843,-0.0222937010938435,-0.0244366102103419,-0.0038704017191938
8,-0.0304754353185677,0.029406129194136,-0.0900826921623222,-0.0617260877183814,-0.0573190462947767,0.000800388314844773,0.000425644557586449,-0.0873056493818256,-0.0900826921623221,-0.00764151787464485,-0.0103050515046117,0.00489895378024138,-0.0238774642940714,-0.0289005317985052,-0.0207295603125079,0.000675584860828846,0.000348929589885853,-0.021699427963758,-0.0238774642940714,-0.00238709065011192
9,-0.0310379046261825,0.0300246529881355,-0.0906562366799685,-0.0624350563049661,-0.0604117066662924,0.000637548574383196,0.000364614764083287,-0.0876385399616564,-0.0906562366799684,-0.00481494276927521,-0.0101041997228035,0.00548310461820014,-0.0235885144678638,-0.0280366247661518,-0.0210745151064633,0.000580860844429757,0.000317602213201473,-0.0215076748026247,-0.0235885144678638,-0.00142207711486383
10,-0.0316596277630923,0.0303526452442499,-0.0912227994212546,-0.0624579668743003,-0.062986744328532,0.000484901059924382,0.000304565085794544,-0.0882038327009471,-0.0912227994212546,-0.0030221571664888,-0.00999220898331506,0.00592131863792053,-0.0235047775991455,-0.0268719359763158,-0.02124761766061,0.000489917970586318,0.000285868891793989,-0.0215913305182505,-0.0235047775991455,-0.000816966447029554
