negyedev,szcenario,y,y_d,y_x,i_S,i_L,efp_S,efp_L,nw_S,nw_L,h_dx,xx,c,infl,r,rer
1,alap,-0.00367066332298114,-4.14912312763931e-05,-0.00533437855822902,0.00580310516004815,0.00324034078883152,5.79717957821648e-05,1.41899958459889e-05,-0.00187725096135192,-0.00148897693725389,-0.00544903449494696,-0.00533437855822902,-0.00104571181602988,-0.000814345198328487,-0.000268392704810301,-0.0215296108708104
2,alap,-0.00293163031270613,0.000989715329761734,-0.00737757370874896,0.011666653974152,0.00648314699858172,8.45951754115965e-05,1.74144372714084e-05,-0.00169527128369543,-0.00138958917269186,-0.00744667602213209,-0.00737757370874896,-0.000610390290941529,-0.00113040201674375,-0.000576805875441062,-0.0205373888099399
3,alap,-0.00180205417095089,0.00218379421986925,-0.00782346935708061,0.017417099164888,0.00962350519730483,0.000107007236754991,1.80960192813766e-05,-0.00148192305288503,-0.00128950384055277,-0.00785552989357979,-0.00782346935708061,3.14026772733249e-05,-0.0012323920466831,-0.00084512227434851,-0.0196232460163954
4,alap,-0.000578625273387247,0.00337910549516144,-0.0075824841244981,0.0229012844204017,0.0125710562868127,0.000120602709748253,1.47115398772886e-05,-0.0012451759003732,-0.00119322489463811,-0.00758850864554058,-0.0075824841244981,0.000706524896462658,-0.0012459114765947,-0.00105376680114677,-0.0188369878157037
5,alap,0.000591921814683893,0.00448266899325405,-0.00711039187963183,0.0279960763272067,0.0152558908600122,0.000126186955740096,7.54803519124111e-06,-0.00099960098653719,-0.00110770811857187,-0.0071002210593153,-0.00711039187963183,0.00131935032738013,-0.0012264246980422,-0.00120612281407814,-0.0181530022632659
6,alap,0.00164600304996591,0.00544677708171846,-0.00661180755191427,0.0326071842222459,0.0176275390148286,0.000126153420068174,-2.54403398047836e-06,-0.000757816764485386,-0.00103905704079467,-0.00659290572186998,-0.00661180755191427,0.00182561681775064,-0.00119810167149243,-0.00131273100850561,-0.0175245920230199
7,alap,0.00256349647572365,0.00625093386243724,-0.00616028004883231,0.0366641227185256,0.01965161285097,0.000122942610696662,-1.4663095725435e-05,-0.00052817272775749,-0.000991575328475625,-0.00613763913978879,-0.00616028004883231,0.00221140005127749,-0.00117101936314246,-0.00138493403019663,-0.0169052989555835
8,alap,0.00334499553557049,0.00688977776275428,-0.00576616372892829,0.0401143099414271,0.0213060279392838,0.000118498132589143,-2.80449372597872e-05,-0.00031489132311069,-0.000967766952789297,-0.00574265548329004,-0.00576616372892829,0.00247902063641186,-0.00114885781412341,-0.00143257650421624,-0.0162561640365042
9,alap,0.00399931833327125,0.00736551167064774,-0.00541321211700847,0.0429175162701596,0.0225775568483206,0.000114144544927756,-4.21118467438991e-05,-0.000119029595419658,-0.000968667582383908,-0.00539006135536696,-0.00541321211700847,0.0026383289782638,-0.00113238513866133,-0.0014634033460937,-0.0155471880068097
10,alap,0.00453702152311176,0.00768337229596645,-0.00507714665713722,0.0450410874313068,0.0234589525418967,0.000110630533174971,-5.64652240275548e-05,6.04215926415172e-05,-0.000994245773917116,-0.00505437767772006,-0.00507714665713722,0.00270164023526495,-0.00112105732974473,-0.0014831291421719,-0.0147565780509213
11,alap,0.0049673076544106,0.0078490439966167,-0.00473423602712471,0.0464560234335638,0.0239466616307559,0.000108224648224546,-7.0858486805104e-05,0.000225558923435398,-0.00104377111644969,-0.00471103661387358,-0.00473423602712471,0.00268099763729659,-0.00111376240185002,-0.00149573620335695,-0.0138693098450399
12,alap,0.00529677278711099,0.00786727415820758,-0.00436458770013822,0.047133856789555,0.0240390638071297,0.000106815888324602,-8.51662218312898e-05,0.000378782442564939,-0.00111611635118717,-0.00433957996199817,-0.00436458770013822,0.00258685755086515,-0.00110916931972866,-0.00150381638432013,-0.0128756313808372
13,alap,0.00552909945133789,0.0077412095522009,-0.00395280897071859,0.0470442279841322,0.0237351498342388,-0.000125249262122609,-0.000208731038580056,0.000522203470690086,-0.00120999016849631,-0.0039242354568842,-0.00395280897071859,0.00242760691425979,-0.00110589071276333,-0.00234224438085214,-0.0117697406680739
14,alap,0.00557983531810031,0.00737375700901361,-0.00351867335800414,0.0461530516468608,0.0230335520365095,-0.000402422024667924,-0.000347886156363237,0.000305714418729218,-0.00151633546037594,-0.00348527011417909,-0.00351867335800414,0.00205978064523857,-0.00110255622635094,-0.00224229689415558,-0.0106671844417229
15,alap,0.00549183282041921,0.00683228969223481,-0.00307112055345914,0.044560412080243,0.0220076700205767,-0.000669139559776663,-0.000483905563555898,-0.000321252779702488,-0.00205192860716553,-0.00303174077970445,-0.00307112055345914,0.00156369334204057,-0.00109749756641072,-0.00216514393139016,-0.0095696868753122
16,alap,0.0052994526293396,0.00616907169557618,-0.00261519606826289,0.042389310299908,0.0207344062841014,-0.00092953386572288,-0.00061766263682047,-0.00132228227157789,-0.00279979620475675,-0.00256896623986728,-0.00261519606826289,0.000992661627716067,-0.00108917317899164,-0.00211761721293362,-0.00848051369632056
17,alap,0.00503209986162167,0.00542650117793206,-0.00215519064340016,0.0397883648976018,0.0192958670171309,-0.000894254684549136,-0.000615830104597301,-0.00266905963389777,-0.00374534847873088,-0.00210160540978264,-0.00215519064340016,0.000380604662020881,-0.00107636679676258,-0.00185359788629302,-0.00740414689955798
18,alap,0.00473491319187695,0.00466924989589894,-0.00169579710827382,0.0369366363501597,0.0177821123607078,-0.000854375837075525,-0.000610672653657241,-0.00389487377271757,-0.0046404024636241,-0.00163479410614354,-0.00169579710827382,-0.000209537242862877,-0.00105826515951236,-0.00162331907952972,-0.00634588174004562
19,alap,0.00443761470164844,0.00393962921900723,-0.00124223206521461,0.0339788497063291,0.0162636961522782,-0.000811765558269243,-0.00060287729718914,-0.00499878135643649,-0.00548163952924549,-0.00117415133802179,-0.00124223206521461,-0.000741827795149792,-0.00103451699967431,-0.00142483925958194,-0.00531136474037131
20,alap,0.00415891868473016,0.00326383460113997,-0.000799915042470235,0.0310288051371095,0.0147939604023045,-0.000768100075374917,-0.000593105594030032,-0.00598272593718392,-0.00626711440259313,-0.000725427241882863,-0.000799915042470235,-0.0011985310401261,-0.0010051873324763,-0.00125507572456468,-0.00430617740789501
21,alap,0.00390976784894433,0.00265661577683626,-0.000374040416042333,0.0281731439774381,0.0134114623760998,-0.000724790685853435,-0.000581958448944503,-0.0068511017548946,-0.00699614176397126,-0.000294063211700138,-0.000374040416042333,-0.00157379797601934,-0.000970669743294984,-0.00111048668204983,-0.00333550766460003
22,alap,0.00369570409720469,0.00212471733609976,3.07933740665484e-05,0.0254751705758196,0.0121423587981697,-0.000682960152873789,-0.000569958479245289,-0.00761022850964709,-0.00766912664979266,0.000115179232948319,3.07933740665484e-05,-0.00186924171600083,-0.000931590784251538,-0.00098749710475382,-0.00240391688034849
23,alap,0.00351859383290651,0.00166939827205249,0.000410835539470972,0.0229785342152546,0.0110026392156822,-0.000643450162744789,-0.000557544135965202,-0.00826781651653289,-0.00828737234457662,0.000498463335991229,0.000410835539470972,-0.00209088281552577,-0.000888722328813263,-0.000882746181112736,-0.00151519455153523
24,alap,0.00337787308665687,0.00128826805808799,0.000763309345677773,0.0207106511733827,0.0100001483690196,-0.000606846747213828,-0.000545071294649043,-0.00883246993807833,-0.00885288754630663,0.000852992601407281,0.000763309345677773,-0.0022470749335937,-0.000842908088234316,-0.000793215012381618,-0.000672286463300911
25,alap,0.00327143764339469,0.000976616677589127,0.00108643271911648,0.0186858008599383,0.00913637022282683,-0.000573514669170253,-0.000532819271681189,-0.00931325349693943,-0.00936820596933699,0.00117701871035621,0.00108643271911648,-0.00234712639348236,-0.000795005702247469,-0.000716276963099509,0.000122719238946557
26,alap,0.003196272543636,0.000728370367421324,0.00137936115433712,0.0169078673083453,0.00840796807015831,-0.000543634838558947,-0.000520999170768224,-0.00971933311923124,-0.00983622554084983,0.00146977155834303,0.00137936115433712,-0.00240041181412539,-0.000745843545855901,-0.00064970040161021,0.000868562784802459
27,alap,0.00314889155703731,0.000536770867914948,0.00164208063057404,0.0153727224503208,0.00780808894603503,-0.000517241040630443,-0.000509763163994556,-0.0100596914178793,-0.0102600703064325,0.00173134015168226,0.00164208063057404,-0.00241582546415373,-0.000696190416269183,-0.00059162410283592,0.00156475320107164
28,alap,0.00312563900524461,0.000394850770517381,0.00187527387384556,0.0140702639254524,0.00732744882985186,-0.000494253810312711,-0.000499213814405071,-0.0103429132287436,-0.0106429755518313,0.0019625282854345,0.00187527387384556,-0.00240146985369413,-0.000646735950014843,-0.000540518725535839,0.00221148915108648
29,alap,0.00312289249095971,0.000295758851608624,0.00208017773132412,0.0129861302033173,0.006955219517444,-0.000474510341351432,-0.000489412899510769,-0.0105770333589817,-0.0109881950530566,0.00216470303382877,0.00208017773132412,-0.00236450352108435,-0.000598079643343379,-0.000495142927855917,0.00280956879442986
30,alap,0.00313719472153773,0.00023297539874342,0.00225844407826027,0.0121031213988832,0.00667973986267678,-0.000457790012235266,-0.000480389436509594,-0.0107694374098868,-0.011298928471294,0.00233964851908816,0.00225844407826027,-0.00231109406443946,-0.000550726535174584,-0.000454499338880173,0.00336029532960445
31,alap,0.00316533491595318,0.000200447233936093,0.00241201216646435,0.0114023567127913,0.00648907422245327,-0.000443835547517858,-0.000472146771054135,-0.0109268063579901,-0.0115782664823949,0.00248943277523029,0.00241201216646435,-0.00224643845357472,-0.000505087866344046,-0.000417793351141261,0.00386538319594849
32,alap,0.00320439461942252,0.000192664497014741,0.00254299681591137,0.0108641999165996,0.00637144001753042,-0.000432370091513655,-0.000464668695406632,-0.0110550960723177,-0.0118291511084028,0.00261629193740954,0.00254299681591137,-0.00217482417866194,-0.000461485300089073,-0.000384396224430875,0.00432686849603757
33,alap,0.00325176861600397,0.000204695584693511,0.00265359429443456,0.0104689834373544,0.00631552477929121,-0.000423110608994046,-0.000457924626102789,-0.0111595438078026,-0.0120543487851598,0.00272253339399708,0.00265359429443456,-0.002099713054929,-0.000420157548955188,-0.000353813058911017,0.00474702604499275
34,alap,0.00330516863256203,0.000232192436391849,0.00274600597820545,0.0101975598779647,0.00631071118489088,-0.000415778085706011,-0.000451873908384822,-0.0112446947430834,-0.0122564338762775,0.00281045777744222,0.00274600597820545,-0.00202383539513871,-0.000381268488879123,-0.000325655633084049,0.00512829453387188
35,alap,0.00336261536581628,0.000271375235034344,0.00282237876717797,0.010031707592244,0.00634722658649482,-0.00041010500932054,-0.000446469333660127,-0.0113144426962024,-0.0124377805764499,0.00288229856004808,0.00282237876717797,-0.0019492864355244,-0.000344916046449906,-0.000299619786192885,0.00547321058032178
36,alap,0.00342242281003854,0.000319003267129402,0.00288476058451632,0.00995441446109007,0.00641623154213119,-0.00040584058884463,-0.000441659963427743,-0.0113720801755595,-0.0126005614015351,0.00294017739428238,0.00288476058451632,-0.00187761983427851,-0.000311141319238755,-0.000275466868374651,0.00578435189956054
37,alap,0.00348317774689022,0.000372336951886547,0.0029350689812683,0.00995006145707419,0.00650985993576077,-0.000402754131154233,-0.00043739335287656,-0.0114203538618253,-0.0127467507171826,0.00298607305302581,0.0029350689812683,-0.0018099351038167,-0.000279937533154084,-0.0002530087256189,0.00606428943271462
38,alap,0.00354371645650166,0.000429094749520831,0.00297507078912729,0.010004525051955,0.00662122147971269,-0.000400636946066083,-0.000433617262684564,-0.0114615224480885,-0.012878131999004,0.0030218017717785,0.00297507078912729,-0.00174695724303186,-0.000251258557847645,-0.000232095689935186,0.00631554799056227
39,alap,0.00360310012993901,0.000487407680706848,0.0030063708331028,0.0101052150897068,0.00674437574888555,-0.000399303101976909,-0.000430280940434653,-0.0114974144837045,-0.0129963077382219,0.00304900688822525,0.0030063708331028,-0.00168910778777566,-0.000225026794628874,-0.000212607081497529,0.00654057478519114
40,alap,0.00366059004292387,0.000545773449242298,0.00303040787252126,0.0102410624634732,0.00687428541373248,-0.000398589306055142,-0.000427336044815646,-0.0115294844745242,-0.0131027111041248,0.00306915585369762,0.00303040787252126,-0.00163656712968883,-0.000201140324571671,-0.000194443781833725,0.00674171510976281
41,alap,0.00371562324305161,0.000603011597589849,0.0030484561409573,0.0104024688259547,0.00700675501920678,-0.000398354138272862,-0.000424737277227742,-0.0115588659960018,-0.013198618647682,0.0030835429132899,0.0030484561409573,-0.00158932836059748,-0.000179479260780834,-0.000177522494807112,0.00692119437054364
42,alap,0.00376778927538075,0.000658220695699635,0.00306163107497116,0.0105812286429619,0.00713836049468377,-0.000398476828227471,-0.000422442777067842,-0.0115864209863765,-0.0132851634800257,0.00309329598798087,0.00306163107497116,-0.00154724315012999,-0.000159911291079755,-0.00016177136899221,0.0070811056616234
43,alap,0.00381680830145733,0.000710738234920253,0.00307089803945642,0.0107704321735389,0.00726637356686022,-0.000398855728102547,-0.000420414329125382,-0.0116127847159634,-0.0133633484867211,0.00309938652466334,0.00307089803945642,-0.00151006030644076,-0.000142296428286795,-0.000147126707710313,0.0072234020899102
44,alap,0.00386251083879722,0.000760103647077257,0.00307708306274525,0.0109643564248024,0.00738868437312598,-0.000399406604242142,-0.000418617424326661,-0.0116384061868811,-0.0134340592458229,0.00310264129742262,0.00307708306274525,-0.00147745773826155,-0.000126491007002456,-0.000133530539903386,0.00734989309691265
45,alap,0.00390481925058721,0.000806024676366623,0.00308088478115849,0.0111583497785487,0.007503724825217,-0.000400060843418552,-0.000417021208588285,-0.0116635839159851,-0.0134980764067859,0.0031037553397633,0.00308088478115849,-0.00144906855512934,-0.00011235098032736,-0.000120928865718621,0.00746224407724001
46,alap,0.00394373104121514,0.00084834718549576,0.00308288695760494,0.0113487148097807,0.00761039464005339,-0.000400763647593062,-0.00041559834878608,-0.011688497202182,-0.0135560873605405,0.00310330536022178,0.00308288695760494,-0.00142450202854801,-9.9734578754762e-05,-0.000109270425317726,0.00756197865599477
47,alap,0.00397930395680183,0.000887028367651165,0.00308357108151689,0.0115325928026868,0.0077079914246059,-0.000401472272380133,-0.000414324839789276,-0.0117132330864144,-0.013608697090505,0.00310176314259076,0.00308357108151689,-0.00140336010191063,-8.85043979388847e-05,-9.85058685120069e-05,0.00765048305393366
48,alap,0.00401164284732269,0.000922113254847694,0.00308332867862419,0.0117078526042224,0.00779614576288315,-0.000402154349093663,-0.0004131797721071,-0.0117378092861115,-0.0136564381419094,0.00309950855785708,0.00308332867862419,-0.00138525008951284,-7.85289832022684e-05,-8.85872269989234e-05,0.00772901203713593
49,alap,0.00404088821534977,0.000953714355169276,0.00308247306037441,0.0118729857257403,0.00787476189474448,-0.000402786317758479,-0.000412145075893286,-0.0117621934324283,-0.0136997796842922,0.00309684191971837,0.00308247306037441,-0.00136979415065892,-6.96839773799038e-05,-7.94676109126653e-05,0.00779869601451583
50,alap,0.00406720635378587,0.000981994211724622,0.00308125032616516,0.0120270089954385,0.00794396428797715,-0.000403351988417887,-0.000411205253797212,-0.0117863189637997,-0.01373913567096,0.00309399550137819,0.00308125032616516,-0.00135663606764424,-6.185289560289e-05,-7.11010677449973e-05,0.00786054891011872
51,alap,0.00409078095954331,0.00100715065110601,0.00307984949907626,0.0121693755653644,0.0080040501774567,-0.000403841240100281,-0.00041034711238223,-0.0118100980380049,-0.0137748721209606,0.00309114410052279,0.00307984949907626,-0.00134544579898063,-5.49275864552156e-05,-6.34425550262237e-05,0.00791547649657394
52,alap,0.00411180610060751,0.00102940447573696,0.00307841172957123,0.0122998946734507,0.00805544796956082,-0.000404248860602836,-0.000409559499498484,-0.0118334318210571,-0.0138073135649243,0.00308841459421504,0.00307841172957123,-0.00133592222341607,-4.88084340311724e-05,-5.64479889890688e-05,0.00796428493060511
53,alap,0.00413048040921429,0.00104898935024149,0.00307703854366674,0.0124186602413591,0.00809868127845656,-0.000404573525523347,-0.000408833053048202,-0.0118562184981206,-0.0138367487070467,0.00308589446802677,0.00307703854366674,-0.00132779443726716,-4.34043501176497e-05,-5.00743402055231e-05,0.00800768928072276
54,alap,0.0041470023730276,0.00106614363480378,0.00307579914417303,0.0125259881413758,0.00813433826634637,-0.000404816911472445,-0.000408159964969245,-0.01187835933201,-0.0138634353624266,0.00308363933601212,0.00307579914417303,-0.0013208219180667,-3.86326002849198e-05,-4.42797542538071e-05,0.00804632188100768
55,alap,0.00416156659842823,0.0010811039266969,0.00307473679742797,0.0126223617797227,0.00816304589592518,-0.000404982935910279,-0.00040753376294433,-0.0118997630708476,-0.0138876047327387,0.00308167949183728,0.00307473679742797,-0.00131479382195149,-3.44185022861097e-05,-3.90236811435617e-05,0.00808074038329379
56,alap,0.0041743609246252,0.00109410008331324,0.00307387435493541,0.0127083855098154,0.00818544866458254,-0.000405077114386394,-0.000406949111279678,-0.0119203489798889,-0.0139094650844764,0.00308002554805511,0.00307387435493541,-0.00130952764077365,-3.06950299811042e-05,-3.42670017533969e-05,0.00811143541327489
57,alap,0.00418556427368126,0.00110535151494216,0.00307321897073891,0.0127847452985613,0.00820219137138577,-0.000405106024957615,-0.000406401631552186,-0.0119400487447618,-0.0139292048933266,0.00307867323147615,0.00307321897073891,-0.00130486740764833,-2.7402351114345e-05,-2.99721431228324e-05,0.00813883776438924
58,alap,0.00419534512919195,0.0011150645522321,0.00307276608230898,0.0128521760140018,0.00821390546535045,-0.000405076869078709,-0.000405887742966788,-0.0119588074654592,-0.0139469955161133,0.00307760740898249,0.00307276608230898,-0.00130068160647333,-2.44873227531492e-05,-2.61031772605659e-05,0.00816332508714239
59,alap,0.00420386054483744,0.00112343071094779,0.00307250272612785,0.0129114346766307,0.00822119853328565,-0.000404997118187805,-0.000405404521866735,-0.0119765839331859,-0.0139629934485717,0.00307680542093164,0.00307250272612785,-0.00129686091171349,-2.19029640722191e-05,-2.26259003228632e-05,0.0081852280512146
60,alap,0.00421125559297243,0.00113062569464458,0.00307241025981205,0.0129632790135789,0.00822464650448008,-0.000404874235445095,-0.000404949579473597,-0.0119933503561721,-0.0139773422233239,0.00307623979932538,0.00307241025981205,-0.00129331585921958,-1.96079224685357e-05,-1.95078906950772e-05,0.00820483597368314
61,alap,0.0042176631725307,0.00113680899372382,0.00307246656118302,0.013008450669368,0.00822478817505077,-0.000404715462547365,-0.000404520956678524,-0.01200909167624,-0.0139901739980826,0.00307588044586103,0.00307246656118302,-0.00128997452679683,-1.75659457103871e-05,-1.67185457712019e-05,0.00822240191939353
62,alap,0.00422320410455292,0.00114212395661443,0.00307264777173128,0.013047662454675,0.0082221216847302,-0.000404527662165013,-0.000404117034541601,-0.0120238045955,-0.014001610879541,0.00307569634140865,0.00307264777173128,-0.00128678028437967,-1.57453699544836e-05,-1.42290981499494e-05,0.00823814728934801
63,alap,0.00422798745240728,0.00114669822525458,0.00307292964787555,0.0130815890517708,0.00821710261143687,-0.000404317207277184,-0.000403736459064993,-0.0120374964122158,-0.0140117660237708,0.00307565685383529,0.00307292964787555,-0.00128368965772062,-1.41186309868607e-05,-1.20126126166923e-05,0.00825226592033487
64,alap,0.00423211101211652,0.0011506444424172,0.00307328857866363,0.0131108606388685,0.00821014338271874,-0.000404089909470036,-0.000403378078772704,-0.0120501837466664,-0.014020744549389,0.00307573270580378,0.00307328857866363,-0.00128067033617834,-1.26618039314578e-05,-1.00439657132866e-05,0.00826492772426633
65,alap,0.00423566192602609,0.00115406115259724,0.00307370232339569,0.0131360589429902,0.00820161373694502,-0.000403850979077678,-0.000403040893642556,-0.0120618912217275,-0.0140286442953625,0.00307589665851326,0.00307370232339569,-0.00127769934420801,-1.13541748959207e-05,-8.29980995770621e-06,0.00827628189916225
66,alap,0.00423871738027456,0.00115703383108116,0.00307415051730629,0.0131577152800375,0.00819184200007279,-0.000403605010857456,-0.000402724013983154,-0.0120726501488392,-0.0140355564511712,0.00307612396155811,0.00307415051730629,-0.00127476138724611,-1.01778465561877e-05,-6.75852490034768e-06,0.00828645974571844
67,alap,0.00424134535311692,0.00115963598741903,0.00307461498810361,0.0131763101899082,0.00818111697527975,-0.000403355989680295,-0.000402426627921098,-0.0120824972579006,-0.014041566083188,0.00307639261334561,0.00307461498810361,-0.00127184737558035,-9.11737848785499e-06,-5.40015722516336e-06,0.00829557712420629
68,alap,0.00424360538708556,0.0011619302998269,0.00307507992096998,0.0131922743224571,0.00816969027226816,-0.000403107311467286,-0.000402147976253651,-0.0120914734993196,-0.0140467525776,0.00307668347096808,0.00307507992096998,-0.00126895312426245,-8.15946210149565e-06,-4.20635204741939e-06,0.00830373658630779
69,alap,0.00424554936325385,0.00116396974609813,0.00307553190467862,0.0132059902759107,0.0081577789302995,-0.000402861815305146,-0.000401887333523179,-0.0120996229377839,-0.0140511900169858,0.00307698024317168,0.00307553190467862,-0.00126607822293036,-7.29262930033767e-06,-3.16027744719201e-06,0.00831102921560813
70,alap,0.0042472222605089,0.00116579870445869,0.0030759598868484,0.013217795132338,0.00814556821383469,-0.000402621823318639,-0.000401643994276692,-0.0121069917501585,-0.0140549475048035,0.0030772693951696,0.0030759598868484,-0.00126322506635259,-6.50699342289585e-06,-2.24654412617186e-06,0.00831753620903102
71,alap,0.00424866288677295,0.00116745400453703,0.00307635506208704,0.0132279834744938,0.00813321448195423,-0.000402389185463679,-0.000401417263582769,-0.0121136273340949,-0.0140580894495046,0.00307753998955485,0.00307635506208704,-0.00126039803440353,-5.79402063315644e-06,-1.45112189905664e-06,0.00832333022966418
72,alap,0.00424990457257205,0.00116896591432225,0.00307671071288848,0.0132368107045353,0.00812084805252114,-0.000402165326929422,-0.000401206450985614,-0.012119577529295,-0.0140606758177761,0.00307778348349933,0.00307671071288848,-0.0012576028088579,-5.14632965180742e-06,-7.61254541068096e-07,0.00832847655931599
73,alap,0.00425097582028004,0.00117035905374503,0.00307702201966282,0.0132444965176372,0.00810857599939479,-0.000401951296301618,-0.000401010867179771,-0.0121248899497629,-0.0140627623644945,0.00307799349878651,0.00307702201966282,-0.00125484581370815,-4.55751756120627e-06,-1.65374318811547e-07,0.00833303407687719
74,alap,0.00425190090481032,0.0011716532294308,0.00307728585318303,0.0132512284124178,0.00809648483602003,-0.000401747813044924,-0.000400829822787167,-0.0121296114226532,-0.0140644008453382,0.00307816557800956,0.00307728585318303,-0.00125213376552884,-4.02200934408015e-06,3.46982660344257e-07,0.00833705608622127
75,alap,0.0042527004235363,0.00117286418833678,0.00307750056002013,0.0132571651454153,0.00808464305155135,-0.000401555313211738,-0.000400662628709523,-0.0121337875273489,-0.0140656392166197,0.00307829693745784,0.00307750056002013,-0.00124947332062722,-3.53492881351041e-06,7.85259329814279e-07,0.00834059101503478
76,alap,0.00425339179484061,0.00117400429048645,0.00307766574918806,0.0132624400588002,0.00807310347649531,-0.000401373992583312,-0.000400508597613019,-0.0121374622270633,-0.0140665218257457,0.00307838622479084,0.00307766574918806,-0.00124687080623001,-3.09198864398664e-06,1.15795799921531e-06,0.00834368300367877
77,alap,0.00425398970597049,0.00117508310294352,0.00307778208620685,0.0132671642292873,0.00806190546384812,-0.000401203846699544,-0.000400367046177955,-0.0121406775844367,-0.0140670895947633,0.00307843328753144,0.00307778208620685,-0.00124433202368358,-2.6893973067918e-06,1.47271752643673e-06,0.00834637240098556
78,alap,0.00425450651185722,0.00117610791860531,0.00307785109909121,0.0132714294020514,0.00805107687905731,-0.000401044707441574,-0.000400237297813998,-0.0121434735521982,-0.0140673801986829,0.00307843895667077,0.00307785109909121,-0.0012418621125181,-2.32378083626814e-06,1.73638685375948e-06,0.00834869618182183
79,alap,0.0042549525872829,0.00117708420441761,0.00307787499935193,0.0132753106866448,0.00804063589803252,-0.000400896276000591,-0.000400118685601536,-0.0121458878298995,-0.0140674282396569,0.00307840484823283,0.00307787499935193,-0.00123946546519093,-1.99211749701689e-06,1.95509456402681e-06,0.00835068829931885
80,alap,0.00425533663528766,0.00117801598428914,0.00307785651993085,0.0132788690027105,0.00803059261705297,-0.000400758152201672,-0.000400010555271943,-0.0121479557779254,-0.0140672654176187,0.00307833318446636,0.00307785651993085,-0.00123714568333378,-1.69168357786639e-06,2.13431422531343e-06,0.00835237998289671
1,optimista,-0.0043844938505244,-0.000132768415675874,-0.00636953366757187,0.00751886359105969,0.00414250155591295,6.86069810909884e-05,1.65906557959257e-05,-0.00217868792356802,-0.001759202151232,-0.00650550694025342,-0.00636953366757187,-0.00149428105823101,-0.00101690529648143,-0.000335152664519647,-0.0257101054473298
2,optimista,-0.00345323571847415,0.00108012899504238,-0.00879341447059746,0.0151037165233373,0.00828572238941738,0.000102711459299128,2.05973211554365e-05,-0.00196547091613132,-0.00164208396610907,-0.00887378783542071,-0.00879341447059746,-0.00112011382233702,-0.00141313077072642,-0.000720792230246234,-0.0244696214999838
3,optimista,-0.00203331057827587,0.00252826014447993,-0.00930304191886654,0.0225392134003343,0.0122994912533689,0.000132104357165756,2.15500564426628e-05,-0.00171107595219008,-0.00152377997587293,-0.00933827876088085,-0.00930304191886654,-0.000434153303778247,-0.00154215185268701,-0.00105678683697782,-0.0233254810143793
4,optimista,-0.000491632503959291,0.00400102146052037,-0.00899136354015331,0.0296348428952668,0.0160714938398665,0.000150941692146806,1.75218848736467e-05,-0.00142472353168863,-0.00140971675288131,-0.00899491784950398,-0.00899136354015331,0.00033172742126252,-0.00156024089877201,-0.0013184405385983,-0.0223406881416057
5,optimista,0.000989014529960252,0.00537544368032079,-0.00840558559190183,0.0362370105948798,0.019514706494117,0.000160136143492587,8.84486615806241e-06,-0.00112405598304105,-0.00130843620257181,-0.00838947117946494,-0.00840558559190183,0.00104649932643556,-0.00153650476615245,-0.0015097360272066,-0.0214839967164617
6,optimista,0.00232834748634887,0.00658683274957375,-0.00779099825581907,0.0422276446129607,0.022566218034183,0.000162604433799037,-3.43957474366688e-06,-0.000824446245780264,-0.00122746954017042,-0.00776432637577748,-0.00779099825581907,0.00164658252280206,-0.00150114873448092,-0.00164365921776318,-0.0206975820151966
