szcenario,besorolas,ceg_ev,median_implicit_rata_pct,bp_csucs,bp_sav_also,bp_sav_felso,bp_10ev,modell_kkv_bp_csucs,modell_nagyvallalat_bp_csucs
alap,A,10592,3.6757503977455,-35.543925588956,-17.7742394940317,-71.4752707782656,-15.2414335371846,-37.1813546289152,-24.7065054728188
alap,B,2375,4.32074887822992,-41.7809589874668,-19.4421655195838,-85.9381531114871,-17.9159082452383,-37.1813546289152,-24.7065054728188
alap,C,286,4.92568896107323,-47.6306340098914,-20.0375901228734,-103.850680558957,-20.4242815211523,-37.1813546289152,-24.7065054728188
alap,D,28,3.91205015981949,-37.8289069535767,-12.8407987561745,-113.417741062317,-16.2212462907144,-37.1813546289152,-24.7065054728188
alap,AVG,1431,4.5420053409605,-43.9204740242317,-20.8486639821881,-92.8944684018945,-18.8333442260516,-37.1813546289152,-24.7065054728188
optimista,A,10592,3.6757503977455,-49.91197871891,-24.9591863777301,-100.367985102962,-20.8652950611328,-52.2113117847424,-34.5390289201674
optimista,B,2375,4.32074887822992,-58.6702313063038,-27.3013443389751,-120.677252109028,-24.5266110246826,-52.2113117847424,-34.5390289201674
optimista,C,286,4.92568896107323,-66.8845422017362,-28.1374596423827,-145.830627093524,-27.9605366064015,-52.2113117847424,-34.5390289201674
optimista,D,28,3.91205015981949,-53.1206265920503,-18.0314825566461,-159.265016017481,-22.2066440987534,-52.2113117847424,-34.5390289201674
optimista,AVG,1431,4.5420053409605,-61.6746104572938,-29.276396901979,-130.445544580491,-25.7825671913166,-52.2113117847424,-34.5390289201674
pesszimista,A,10592,3.6757503977455,-21.1758724590018,-10.5892926103333,-42.582556453569,-9.61757201323633,-22.151397473088,-14.8739820254702
pesszimista,B,2375,4.32074887822992,-24.8916866686298,-11.5829867001925,-51.1990541139459,-11.3052054657939,-22.151397473088,-14.8739820254702
pesszimista,C,286,4.92568896107323,-28.3767258180467,-11.9377206033642,-61.8707340243904,-12.888026435903,-22.151397473088,-14.8739820254702
pesszimista,D,28,3.91205015981949,-22.5371873151032,-7.65011495570282,-67.5704661071533,-10.2358484826754,-22.151397473088,-14.8739820254702
pesszimista,AVG,1431,4.5420053409605,-26.1663375911696,-12.4209310623973,-55.3433922232976,-11.8841212607865,-22.151397473088,-14.8739820254702
