negyedev,szcenario,y,yd,y_E,y_D,y_L,x_E,x_D,x_L,i_E,i_D,i_L,efp_E,efp_D,efp_L,xx,c,infl,r,rer,bstar
1,alap,-0.000836638896894015,0.000478449419283514,-0.00209161368718249,0.000210581442318327,-0.0011956968152421,-0.00413230795316067,-0.0041954629955891,-0.00414078967636971,0.000267945595332806,0.000279984598487213,0.00131842886677964,0.000158187670392849,0.000144217811733234,-5.88660932571049e-05,-0.00414132394865655,0.000535972543726335,-0.00264693615970291,-0.000595849196953965,-0.00415949209430326,-0.00667415836279815
2,alap,-0.00202478615930209,-0.00127682107958194,-0.00273170172705511,-0.00145418201699823,-0.00221118333809516,-0.00389235993575504,-0.00396014860396397,-0.00388622416201437,0.000374731805243363,0.000372477265140593,0.00145266101332785,0.000131340762926865,0.000114303193418257,-7.89851903626401e-05,-0.00389321358619277,-0.00237749749250717,-0.000782402230076161,-0.000717621914267708,-0.00391468064480904,-0.0114004750149798
3,alap,-0.00227746807950505,-0.00171346113104842,-0.00282777045530536,-0.00185331301355792,-0.00240609685007479,-0.00370297079852849,-0.00374295011824422,-0.0036691700726809,0.00046955443971722,0.000454506736092928,0.00157741796388178,0.000102847074963522,8.35644558405106e-05,-0.000100331730865393,-0.00368599883404426,-0.00312610301163822,-0.000793754489034656,-0.000829357892523131,-0.00370255282019189,-0.0154506752585816
4,alap,-0.00252897733214789,-0.00213817459700727,-0.00294706209001683,-0.00223114315962301,-0.00260662930418745,-0.00355349200876792,-0.00354048048419923,-0.00348181793693051,0.000551158408068448,0.000524640232301771,0.00169150760913557,7.23404901984439e-05,5.1473648994423e-05,-0.000122984489868753,-0.00351114697207709,-0.00385158099992323,-0.000794993052950172,-0.000930111536515034,-0.00351642441235067,-0.0188728825390625
5,alap,-0.002791850012648,-0.00257130964843344,-0.00309126805424167,-0.00260933061059728,-0.00282215430436335,-0.00343349256580719,-0.00334822444238649,-0.00331604649719087,0.000618349569039082,0.000581661363032927,0.00179392559792745,3.95181215420689e-05,1.76428702903505e-05,-0.000146996343015096,-0.003359948864056,-0.0045869443009768,-0.000786172144992141,-0.00101923513097577,-0.00334909262926419,-0.0216846960408085
6,alap,-0.00307226897289648,-0.00302454121040883,-0.00325841658811288,-0.00300091763203673,-0.00305647658485017,-0.00333247836026794,-0.00316082373100789,-0.00316336118784669,0.000669906086874969,0.000624456405197394,0.00188374979004376,4.10014898937871e-06,-1.82341293394294e-05,-0.00017240847473687,-0.00322340196653413,-0.0053510100244009,-0.000767311300795881,-0.00109624985807246,-0.00319286341985216,-0.0238804250295855
7,alap,-0.00337138710702812,-0.00350273474554357,-0.00344343216863646,-0.00341229717047294,-0.00330893191910793,-0.00323961287416706,-0.00297223278468673,-0.00301478361913505,0.000704505540729041,0.000651925223140729,0.00196005901852059,-3.41999265692096e-05,-5.64244309662069e-05,-0.000199260831309348,-0.0030920570296873,-0.0061514291599224,-0.00073840845192554,-0.00116075367678995,-0.00303950907629493,-0.0254365021995654
8,alap,-0.00368627105259856,-0.00400530176106189,-0.00363849029894877,-0.00384465218793924,-0.00357515886500058,-0.00314343294848549,-0.00277577836307532,-0.0028607010978547,0.000720663731591466,0.000662911162323299,0.00202187032486966,-7.56973674016644e-05,-9.71865373164318e-05,-0.000227599749420605,-0.0029558336589186,-0.00698688844355633,-0.000699456355980668,-0.00121235707716277,-0.00288017141909987,-0.0263154699727359
9,alap,-0.00401056863127539,-0.00452718672326352,-0.00383321879732197,-0.00429501508355228,-0.00384763037076244,-0.00303155432729984,-0.00256414861418631,-0.00269068278334413,0.000716682033835779,0.000656145767510209,0.00206809028400154,-0.000120752705560736,-0.000140792028938136,-0.000257483458797538,-0.0028038083319971,-0.00784871218319249,-0.000650461177322235,-0.0012506399695264,-0.00270522201866776,-0.0264688180106824
10,alap,-0.00433497675654609,-0.00505958911259739,-0.00401478259337201,-0.00475705739166461,-0.0041160103440516,-0.00289036207966165,-0.00232933128251724,-0.00249326710267414,0.000690600790732644,0.00063020532424932,0.00209747711488231,-0.000169784262407644,-0.000187540463655756,-0.000288985984582824,-0.00262397708617149,-0.00872203313952405,-0.000591462223227149,-0.00127512462265627,-0.00250408794507384,-0.0258388637891441
11,alap,-0.00464756733953691,-0.00559049846900714,-0.00416787858006533,-0.00522169336381404,-0.00436738366780879,-0.00270468091839401,-0.00206251659429642,-0.00225572340607859,0.000640156716837243,0.000583477107352657,0.00210861107716034,-0.000223277907468574,-0.000237769103574758,-0.000322199846077978,-0.00240299383769704,-0.00958665936951834,-0.000522551967685587,-0.00128526078198345,-0.00226504923793596,-0.0243598024053074
12,alap,-0.00493401485766616,-0.00610510163884992,-0.00427465917608802,-0.00567756212063484,-0.00458639604741205,-0.00245741994589633,-0.00175397741908459,-0.00196378943111268,0.000562742587819975,0.000514133918583,0.00209987125396591,-0.000281795017887834,-0.000291858602481037,-0.000357237851932456,-0.00212588411359383,-0.0104177335693694,-0.000443895564649139,-0.00128041999326272,-0.00197501247932334,-0.0219580006737281
13,alap,-0.00517775922412543,-0.00658610801325062,-0.0043145971175838,-0.00611143973166079,-0.00475533120499079,-0.00212918548924635,-0.00139293735229586,-0.00160138487773107,0.000455367698938336,0.000420116063983038,0.00206941726734279,-0.000516291910554768,-0.000520547938068244,-0.000564546719782295,-0.00177573280627722,-0.0111862595923325,-0.000355749075930552,0.00288789238879037,-0.00161926340339279,-0.0185515695551615
14,alap,-0.00452579234457098,-0.00579973142604347,-0.00380040643742691,-0.00536132634691591,-0.00412895208327833,-0.00182356568324636,-0.00109314744584426,-0.00127601144940412,0.00100952909026682,0.000987252009876028,0.0027074939372565,-0.000490445913207124,-0.000489704523295797,-0.000684559254629854,-0.00145905459642056,-0.0100842085046102,-0.000312351873214218,0.00184404638241534,-0.00130691153017857,-0.0153761855296613
15,alap,-0.00361714947782401,-0.00463890452857267,-0.00312665080569246,-0.00427275680787368,-0.00327429403085802,-0.00154113776626586,-0.000849490018202623,-0.000986110439867368,0.00140816301487834,0.00139651662085252,0.00316671544917585,-0.000529392843204911,-0.000525065558188811,-0.000824466006394667,-0.00117481984065702,-0.0083159729466477,-0.000271445727575432,0.000960060442979926,-0.00103546580260314,-0.0128402417719197
16,alap,-0.00269887101116912,-0.0034499904457856,-0.00244895917374876,-0.00316994697758933,-0.00241150661819176,-0.00128340618051564,-0.000653412105836014,-0.000729401730230337,0.00165683268662391,0.00165294961484615,0.00345876343749177,-0.000623714716768442,-0.000617230256744067,-0.0009818311695698,-0.000921687988946274,-0.00645198992344814,-0.000234459432347349,0.000256898977558707,-0.000801006370255793,-0.0110275959102348
17,alap,-0.00191243242153228,-0.0024321832875634,-0.00185802603735942,-0.0022372170948656,-0.00166714979934958,-0.00105150027099126,-0.000495854644752519,-0.000503186477431895,0.00176817397624171,0.00176955800226012,0.00360198031674467,-0.000548613599172855,-0.000541097053528594,-0.000939508017517182,-0.00069790961881487,-0.00482367210348743,-0.000201836188074581,-4.20940533574156e-05,-0.000599170182181212,-0.00983162378657034
18,alap,-0.0012673334206331,-0.00160039802315963,-0.001362375108713,-0.00148483703686141,-0.00105048043872453,-0.000845540599414208,-0.000368944346329919,-0.000304594271895586,0.00183389238148368,0.00183851776629115,0.0036928644103514,-0.000499708041377558,-0.000491983325329419,-0.000906768391508241,-0.000501353919330446,-0.00348483197782567,-0.000173396043791571,-0.000218523496418568,-0.000425774138389641,-0.00912590601432573
19,alap,-0.000762713805538825,-0.000954953774365933,-0.000963121506880571,-0.000910228822485262,-0.000561260599957279,-0.000664812262359579,-0.00026615204454221,-0.00013074612206903,0.00186923047003588,0.00187559292541793,0.00374940475942987,-0.000468283977435284,-0.000460892469099798,-0.000880816973108846,-0.000329675052973221,-0.00244122495811161,-0.000148795919753236,-0.000305548081650885,-0.000276978218636405,-0.00877780767339646
20,alap,-0.000381672382093138,-0.000473606457044557,-0.000650593145421575,-0.00049034180067282,-0.00018475366592958,-0.000507934027175677,-0.000182327795369176,2.11293797207496e-05,0.0018861635154335,0.00189323449187261,0.00378543856293334,-0.000447869324122513,-0.000441120383215713,-0.000859530174086514,-0.000180441909515223,-0.0016604571711846,-0.000127597030332526,-0.000332541583186196,-0.000149381188303879,-0.00866983366725522
21,alap,-0.000101099178180451,-0.000125267205993457,-0.000410572525130074,-0.000194518353613046,9.95014826217534e-05,-0.000373069678232799,-0.000113546297812108,0.000153624909393957,0.00189335087694792,0.00190048882987424,0.00381080013403472,-0.000433972514324841,-0.000428003010042661,-0.000841396787662593,-5.12444922695617e-05,-0.00109448561624001,-0.000109347725258776,-0.000322892948607657,-4.00334630451032e-05,-0.00870842820556937
22,alap,0.000102415363458075,0.000121736924775183,-0.000228147138068914,7.85806197264849e-06,0.000312387478623553,-0.000258129458575095,-5.68764936656955e-05,0.000269117538802132,0.00189657074895817,0.00190342270106984,0.00383194713152138,-0.000423683030691847,-0.000418513004335327,-0.000825405367300242,6.02279956254314e-05,-0.000693324473255408,-9.36287503062391e-05,-0.000293711742087611,5.35952872611364e-05,-0.00882515303164956
23,alap,0.000249493180445374,0.000295333211358128,-8.98039167180323e-05,0.000143437804532264,0.000472413106172626,-0.000160936392830224,-1.0143677982696e-05,0.000369756009965258,0.00189934048042929,0.00190575220790285,0.003852743376744,-0.000415255994257615,-0.000410834459977282,-0.000810919852464935,0.00015613603485345,-0.000412362516312009,-8.00732056601923e-05,-0.000256545629654408,0.000133668492921328,-0.00897381748138237
24,alap,0.000356750209963043,0.000417980227642104,1.56644337833598e-05,0.000233423944696587,0.000594586116320666,-7.9349524173922e-05,2.82801718342756e-05,0.000457463699723224,0.00190354510875488,0.00190948809762418,0.00387521317154627,-0.000407745317167795,-0.000403984537073278,-0.000797566241010382,0.00023846126270306,-0.000215404947125105,-6.83709211814986e-05,-0.000218514235445877,0.000202039414102827,-0.00912594305821649
25,alap,0.000436701560742574,0.00050651467125655,9.69867892919498e-05,0.000293544056231772,0.000690294750809483,-1.13460219446912e-05,5.9643668334479e-05,0.000533950807320238,0.00190998272569667,0.00191549972746745,0.00390017681303165,-0.000400711641930317,-0.000397510646701229,-0.000785140404200796,0.00030899517206785,-7.51104353121264e-05,-5.82643225249932e-05,-0.000183498093997489,0.00026030373662782,-0.00926600762401004
26,alap,0.000498254475642141,0.000572821733682813,0.000160641157213035,0.000334768185788293,0.00076772186356028,4.49310759649458e-05,8.4939601275375e-05,0.000600731178122696,0.00191879175833432,0.0019239593026898,0.00392773781152966,-0.000394008136038857,-0.000391267392477106,-0.000773539267070232,0.000369339889259462,2.79635784362223e-05,-4.95405396729724e-05,-0.000153191022056587,0.000309844276300792,-0.00938723591177365
27,alap,0.00054743449709019,0.000624834424613478,0.000211256883028634,0.000364309366974791,0.000832475094143031,9.11511940487494e-05,0.000104990265768224,0.000659140747547061,0.00192975883752066,0.0019346635203697,0.00395762737590878,-0.000387634983884885,-0.000385264420109233,-0.000762713257934958,0.000420916685186038,0.000106896021193804,-4.20226733584028e-05,-0.000127937244129937,0.000351866949659195,-0.00948825102348025
28,alap,0.000588131788987857,0.000667564194042246,0.000252052286562362,0.000386631267606914,0.00088824179642683,0.00012879269134483,0.000120502596114516,0.000710355789692437,0.00194252319997374,0.00194724822288975,0.00398942880217159,-0.00038164845554081,-0.000379570903074959,-0.000752636022281312,0.000464978869098125,0.000170023835761518,-3.5561800706842e-05,-0.000107343084943543,0.000387428750366037,-0.00957062766022583
29,alap,0.000622756243052804,0.000704006837678805,0.000285231796967341,0.000404321669925167,0.000937367781614157,0.000159150817826307,0.000132101374052479,0.000755410004899253,0.00195670013715643,0.00196131888913885,0.00402270994332816,-0.000376109859141822,-0.000374261606464884,-0.000743286980151626,0.000502626673296245,0.000222386447583506,-3.00304074467797e-05,-9.06893240282851e-05,0.000417459157812817,-0.00963724270388686
30,alap,0.000652757234945019,0.00073586146343933,0.000312309429443364,0.000418778393068928,0.000981318960466021,0.000183352065530483,0.000140347720984301,0.000795210037546297,0.00197194620934386,0.00197652028737965,0.00405709084147053,-0.000371061425826724,-0.000369391155640008,-0.000734642707697203,0.000534822548932138,0.000266883225282925,-2.5317387642695e-05,-7.71851522579149e-05,0.000442776545455512,-0.00969125939096834
31,alap,0.000679004252162933,0.000764056686043581,0.00033435182680463,0.000430706431666297,0.00102102120804793,0.000202371326337394,0.000145748532930218,0.00083054934941908,0.00198798588329099,0.0019925656174696,0.00409226927977354,-0.000366518855416335,-0.000364985845120691,-0.000726673885496317,0.000562405920130224,0.000305127693818974,-2.1324457707986e-05,-6.61065373341035e-05,0.000464101003163498,-0.00973557385066359
32,alap,0.000702045678289312,0.000789107725635427,0.000352148457082967,0.000440451800504339,0.00105709286628394,0.000217049529795749,0.000148760934770573,0.000862120550767157,0.00200461495690084,0.00200924111448998,0.00412802164877334,-0.000362473035313694,-0.000361045177226856,-0.000719345395666922,0.000586106892261558,0.000338032145273283,-1.79637059100702e-05,-5.6856806937466e-05,0.000482064709073568,-0.00977257277225014
33,alap,0.000722271332749158,0.000811339810953162,0.000366322815847547,0.000448207624614524,0.00108999201064272,0.000228110400366109,0.000149794454825055,0.000890526365572917,0.00202169180922347,0.00202639764529935,0.00416419137492508,-0.000358895896390666,-0.000357547851813497,-0.000712617911981959,0.000606558707760682,0.000366177000590172,-1.51559757854145e-05,-4.89794607901671e-05,0.000497220684858982,-0.00980408215683933
34,alap,0.000740005037119836,0.000831014331978621,0.000377399742832664,0.000454128185238441,0.00112010145527052,0.000236175656294607,0.000149212543849455,0.000916289421289455,0.00203912377625684,0.00204393696436294,0.00420067283967041,-0.000355747311168072,-0.000354458944780147,-0.00070644994410898,0.00062430892391769,0.000390022256486029,-1.28298140786002e-05,-4.21450852936995e-05,0.000510050498937583,-0.0098314196588252
35,alap,0.000755550169694003,0.00084838965264371,0.000385842506590783,0.000458381754239951,0.00114777170986418,0.000241778417372403,0.000147334288882087,0.000939861035651288,0.00205685303465806,0.00206179726123404,0.00423739541917537,-0.000352981352325364,-0.000351736487207358,-0.000700799754346707,0.000639829385004008,0.000410011899118413,-1.09207691189019e-05,-3.61270655839067e-05,0.000520971268056485,-0.00985549173766437
36,alap,0.000769206296534449,0.000863741753307729,0.000392070676215648,0.000461166282551956,0.00117333788949202,0.000245374851915725,0.000144436661904397,0.000961629143059174,0.00207484428065094,0.00207994044366734,0.00427430995559087,-0.000350551177303085,-0.00034933665079378,-0.000695626877708244,0.000653525104137047,0.000426611813154373,-9.37088456960184e-06,-3.07750973973529e-05,0.000530342152626086,-0.00987689961041059
