negyedev,szcenario,y,yd,y_E,y_D,y_L,x_E,x_D,x_L,i_E,i_D,i_L,efp_E,efp_D,efp_L,acc_E,acc_D,xx,c,infl,r,rer,bstar
1,alap,-0.000862660015255694,0.000439744878585731,-0.00210738926987674,0.00017577038227877,-0.00121858886249116,-0.00412840197765395,-0.00418777978224019,-0.00413527765666963,0.000168621644684074,0.000101368570730932,0.00136038992523408,0.000156942824505042,0.000146902074033777,-6.2042165825784e-05,-0.000313885649010084,-0.000367255185084442,-0.00413624255310214,0.000490100178461295,-0.00265305047281292,-0.000597538734689979,-0.00415346582090792,-0.00662954210418166
2,alap,-0.00207151765845268,-0.00134648601718701,-0.00276009134587767,-0.00151668392641992,-0.00225228480759851,-0.00388516248732325,-0.00394581479999561,-0.00387596702309385,0.000199274847558113,8.45693118352482e-05,0.00149815285946597,0.0001306791736995,0.000116416313285926,-8.13179722183907e-05,-0.000528161149057571,-0.000603207690536592,-0.00388378071385813,-0.00245920283807988,-0.00078883409253092,-0.0007211207631895,-0.00390346588410879,-0.0112746114833034
3,alap,-0.00233501361158631,-0.00179994994516306,-0.00286257285670323,-0.00193040657052992,-0.00245666681396368,-0.00369286033060988,-0.00372307270737382,-0.00365492260016986,0.000246940985708859,0.000105695389945575,0.00162659410504598,0.000102602723130313,8.50260335858184e-05,-0.000101864764364908,-0.000654142422959562,-0.00072529162092065,-0.00367285818917477,-0.00322711958469919,-0.000800365830816795,-0.000834611089535999,-0.00368696693131453,-0.0152209122145579
4,alap,-0.00258920208002443,-0.00222986955450823,-0.00298295824318742,-0.00231209489774684,-0.00265954329796526,-0.00354055412125875,-0.00351599508903722,-0.00346425553109093,0.000307891694558235,0.000158334462389449,0.00174442352505818,7.2363388839239e-05,5.22123749846258e-05,-0.000123769038755152,-0.000700747837194106,-0.000747028815244117,-0.00349478090045718,-0.00395884253185667,-0.000801654229234841,-0.000936936859597536,-0.00349713291376127,-0.0185280914558961
5,alap,-0.00284790484262379,-0.00265846679302359,-0.00312356545788693,-0.00268507488999575,-0.00287152300201269,-0.00341752681152505,-0.00331976417625987,-0.00329576268283134,0.000379080909437526,0.00023751235043095,0.00185057110466039,3.96821052189466e-05,1.76063254684091e-05,-0.000147087185155365,-0.000674999872052883,-0.000678990306628522,-0.00334067080971915,-0.00468994987735894,-0.000792789909353002,-0.00102736440077098,-0.00332656077856476,-0.0212233549675978
6,alap,-0.0031182452243637,-0.0030988196427967,-0.00328286815612748,-0.00306354846897446,-0.00309736893942267,-0.00331301189052874,-0.00312863153188627,-0.00314087182884267,0.000457948478489682,0.000339305901715586,0.00194407583236246,4.30902340288461e-06,-1.90719065485055e-05,-0.000171860604497282,-0.00058236793805072,-0.000529461994262979,-0.00320135807150074,-0.00544118396880685,-0.000773830598939429,-0.00110536077895309,-0.00316732813007229,-0.0233091035265608
7,alap,-0.0034020615258073,-0.00355684524435024,-0.00345610768120279,-0.00345469112522109,-0.00333716983746443,-0.0032159213431358,-0.00293610698621281,-0.00299053728139048,0.000542277358822514,0.000460569339085396,0.00202400024062986,-3.40073254381837e-05,-5.80569437582594e-05,-0.000198126853219292,-0.000426998096466745,-0.000304900335727884,-0.00306723603818527,-0.00622165251309132,-0.00074481274100209,-0.00117049429328615,-0.0030109672032889,-0.0247686590312553
8,alap,-0.00369692002944954,-0.00403274684436583,-0.00363568986835923,-0.00386019090811229,-0.0035871671492074,-0.0031145690834424,-0.00273504375886004,-0.00283509510733878,0.000630089516501547,0.000598742252302244,0.00208936448665774,-7.55427543606822e-05,-9.95698508885001e-05,-0.000225927792272857,-0.000211862873275369,-1.02406581474514e-05,-0.00292808450518055,-0.0070311645599946,-0.000705766662787305,-0.00122236442801779,-0.0028483814241003,-0.0255704967866862
9,alap,-0.00399683666989362,-0.0045220719861206,-0.00381142095451129,-0.00427738463742105,-0.00384033018274622,-0.00299638466764875,-0.00251764719987693,-0.00266408463238778,0.000719569580142018,0.00075171597726266,0.00213909537961875,-0.000120614192093159,-0.000143840363714024,-0.000255315475184093,6.11449419022545e-05,0.000350896349859726,-0.00277286501182748,-0.00786193916837114,-0.000656734031279206,-0.0012605541499968,-0.00266971678870574,-0.0256712784964282
10,alap,-0.0042927883324848,-0.00501649133935956,-0.00397062199088388,-0.00470010780943545,-0.00408674774363241,-0.00284761256388725,-0.00227542836478362,-0.00246604095694409,0.000809008194646375,0.000917741431571778,0.00217198689205999,-0.000169592148651558,-0.000191121989168055,-0.00028635632819875,0.000391157497920032,0.000776066870300905,-0.00258949063052542,-0.0086998633325446,-0.000597786536572336,-0.001284599183402,-0.00246419718709448,-0.0250178895723918
