ACCSCALE,y,y_E,y_D,y_L,i_E,i_D,i_L,efp_E,efp_D,efp_L,acc_E,acc_D,bstar,y_KKV,D_minus_L,E_minus_L,KKV_minus_L
0,0.0057589634772213,0.000474102572599825,0.0014361612236507,0.0114272119142279,0.00877451612373024,0.00947582062310238,0.0237444166656346,-0.000302683793405164,-0.000287783556166379,-0.000532214719135236,0,0,-0.01,0.00112130566512496,-0.00999105069057724,-0.0109531093416281,-0.010305906249103
10,0.00578534073578697,0.000529435919467876,0.00154231895511672,0.0113764094597546,0.00889222751486677,0.00966524780045591,0.0237151478898434,-0.000301979320713876,-0.000286498080791077,-0.000532558451088156,0.000402639094285168,0.000477496801318462,-0.01,0.00121082996163164,-0.00983409050463788,-0.0108469735402867,-0.010165579498123
20,0.0058631728922954,0.000694632960813448,0.00185488556793352,0.0112262917760302,0.00924241254199449,0.0102233744732358,0.0236286429137766,-0.000299878572069185,-0.00028271264050289,-0.000533574363901624,0.000799676192184493,0.000942375468342967,-0.01,0.00147516653287604,-0.00937140620809665,-0.0105316588152167,-0.00975112524315412
30,0.00598872692436283,0.000967183505366759,0.00235696661125776,0.010983458327181,0.0098162982410203,0.0111211188629491,0.0234886546375217,-0.000296420272949259,-0.000276630324766776,-0.00053521838358753,0.00118568109179704,0.00138315162383388,-0.01,0.00190212850387525,-0.00862649171592323,-0.0100162748218142,-0.00908132982330574
40,0.00615629388837861,0.00134262782069636,0.00302294352544669,0.0106580706138622,0.0105995478348405,0.0123142712115724,0.0233009678353346,-0.000291670761548829,-0.000268559250545841,-0.000537422573865711,0.00155557739492709,0.00179039500363894,-0.01,0.00247302202207385,-0.00763512708841552,-0.00931544279316585,-0.00818504859178836
50,0.00635883337023658,0.00181432340979624,0.00382162455288851,0.0102627868264545,0.0115727873223359,0.0137487990991003,0.0230728000485081,-0.000285724942038205,-0.000258874850653318,-0.000540102172066845,0.00190483294692137,0.00215729042211098,-0.01,0.00316468963333104,-0.00644116227356594,-0.00844846341665821,-0.00709809719312341
60,0.00658867329635846,0.00237338196972962,0.00471959945032615,0.00981158387819211,0.0127124592254878,0.0153665272371262,0.0228121370943157,-0.000278705139902094,-0.000247979679142777,-0.000543163392902927,0.00222964111921675,0.00247979679142777,-0.01,0.00395174645667638,-0.00509198442786596,-0.00743820190846249,-0.00585983742151573
70,0.00683814740650649,0.00300887343164836,0.00568420344870032,0.00931865536175705,0.0139919878075323,0.0171101996071491,0.0225271086345925,-0.00027075706294885,-0.000236267837155929,-0.000546510761778126,0.00252706592085594,0.0027564581001525,-0.01,0.00480864089766513,-0.00363445191305674,-0.0063097819301087,-0.00451001446409193
80,0.00710009342051663,0.00370829676414042,0.00668572404585616,0.00879751579112127,0.0153831511161578,0.0189273023565007,0.0222254774178185,-0.000262043076984518,-0.000224098411140467,-0.000550053113120157,0.00279512615450153,0.00298797881520623,-0.01,0.00571129329911283,-0.00211179174526511,-0.00508921902698085,-0.00308622249200845
90,0.00736818227143165,0.00445823538701383,0.00769873842491571,0.00826037041011188,0.0168574979916009,0.0207724432283062,0.0219142765336014,-0.000252733816637465,-0.000211779287757652,-0.000553707850456824,0.00303280579964958,0.00317668931636478,-0.01,0.006638210157966,-0.000561631985196176,-0.00380213502309805,-0.00162216025214588
100,0.00763708701430066,0.00524507667505323,0.00870266486568888,0.00771774936108042,0.0183876430672247,0.0226084085589311,0.0215995952669401,-0.000242999489481221,-0.000199560374710696,-0.000557403461339517,0.00323999319308294,0.00332600624517827,-0.01,0.00757109054875358,0.000984915504608467,-0.00247267268602718,-0.000146658812326837
110,0.0079025224817078,0.00605568117031553,0.00968171632296698,0.0071783662923405,0.019948312290536,0.0244061976931109,0.0212864922142484,-0.000233002101324365,-0.000187633999066952,-0.000561080537707005,0.00341736415275736,0.00343995664956079,-0.01,0.00849501390937196,0.00250335003062648,-0.00112268512202497,0.00131664761703146
120,0.00816119441429925,0.00687792145005661,0.0106244687413808,0.00664914470884034,0.0215170727352255,0.0261443818532307,0.0209790044899624,-0.000222889416715576,-0.000176139954129558,-0.000564691667763212,0.00356623066744922,0.00352279908259116,-0.01,0.00939832599149291,0.0039753240325405,0.000228776741216267,0.00274918128265257
130,0.00841069436941859,0.00770105323305157,0.011523230138991,0.00613535474676146,0.0230747403832705,0.0278080966941278,0.0206802210515119,-0.000212790986594217,-0.000165172973920459,-0.000568200574850124,0.00368837710096642,0.00357874776827661,-0.01,0.0102723358788653,0.0053878753922295,0.00156569848629011,0.00413698113210388
140,0.00864936931240864,0.00851591786186813,0.012373348408364,0.00564081152483937,0.0246055037206614,0.0293879023940867,0.020392392569511,-0.000202816175852575,-0.000154790982028043,-0.000571580827134339,0.00378590194924807,0.00361178958065433,-0.01,0.0111109165931471,0.00673253688352458,0.00287510633702875,0.00547010506830776
150,0.00887618620417646,0.00931499934994444,0.0131725464178026,0.00516809810355448,0.0260968250093246,0.030878665462015,0.0201170567241027,-0.000193053870878119,-0.00014502304759179,-0.000574814366129152,0.00386107741756237,0.00362557618979474,-0.01,0.0119100764683217,0.00800444831424809,0.00414690124638996,0.00674197836476725
