negyedev,szcenario,y,y_d,y_x,i_S,i_L,efp_S,efp_L,nw_S,nw_L,h_dx,xx,c,infl,r,rer,rk_S,rk_L,z_S,z_L,l_S,l_L
1,alap,-0.00364781031665276,-0.000311538013778154,-0.00529643254605524,0.00642571587152722,0.000962897065870414,-2.02731566929715e-05,0.000109195985229555,0.00161647091809653,-0.0123427152035489,-0.00545548157149887,-0.00529643254605524,-0.00123482271009352,-0.000794504899120287,-0.000261853719156963,-0.0216693541701938,-0.00538129462435375,-0.0199417079323495,-0.000375347004551993,-0.00615864249541307,-0.00247000241724325,-0.011918944880314
2,alap,-0.00300980284261172,0.000484985600267776,-0.00722791747297525,0.0126436600923764,0.00237506880052723,1.07218894918281e-05,0.000102999060612865,0.00150483217401839,-0.0115336674993305,-0.00734265373282368,-0.00722791747297525,-0.000964001973592692,-0.00110681014390522,-0.000564054274316876,-0.0206939743671473,-0.00445218785421713,-0.0223734156561572,0.000551417238329862,-0.00840847396826256,-0.00141774758492052,-0.0138236772322011
3,alap,-0.00197445694518166,0.00148917135667783,-0.0075265014154299,0.0185084843888313,0.00410970705656606,3.60750962623328e-05,9.58199642369529e-05,0.00144588783734505,-0.0107759632753369,-0.00759854456819222,-0.0075265014154299,-0.000445039772819692,-0.001212009116042,-0.00082870047922938,-0.0197870948858029,-0.00314409537145512,-0.0223465841386406,0.0016973605314971,-0.00876523260752212,-0.000191664063293368,-0.0139600502431959
4,alap,-0.000831428393479041,0.00253324208167822,-0.00713338794686743,0.023896119162588,0.00604978329751416,5.16406233155356e-05,8.57481093633011e-05,0.00142842759179655,-0.0100687615244236,-0.00717196227867792,-0.00713338794686743,0.000140814198798849,-0.00123103366308815,-0.00103636637040781,-0.0189988527064994,-0.00181492695099,-0.0213315126825374,0.00286292525346847,-0.00832451230573089,0.00101795215516054,-0.0133981883260777
5,alap,0.000272931429229332,0.00351840630821933,-0.00652396957306895,0.0287121838117891,0.00809582235185018,5.81621403953977e-05,7.28964557467469e-05,0.00143549995964633,-0.00941462114599642,-0.00653932577622175,-0.00652396957306895,0.00069011834757291,-0.00121714284373977,-0.00118982196346294,-0.0183063173446545,-0.000681514875901838,-0.0200664135253073,0.00393223979941135,-0.00763976062182541,0.00210950115551582,-0.0126522918925381
6,alap,0.00127316575543537,0.00439221436897698,-0.00591309451666436,0.0328906682191175,0.0101659562041055,5.78349454372227e-05,5.80347671016777e-05,0.00145213141506502,-0.00881577456772169,-0.00591383223132613,-0.00591309451666436,0.00115225234988243,-0.00119357971131612,-0.00129883570903058,-0.0176657682878756,0.00014207291127317,-0.0188810676323063,0.00484567047582731,-0.00696104516576071,0.00303646983590644,-0.0119363469255431
7,alap,0.00214690258613506,0.00513050108547099,-0.00537819462534256,0.0363891428862203,0.0121932393350474,5.29316573301288e-05,4.20128164801241e-05,0.00146743396137635,-0.00827298973615441,-0.00537048985390051,-0.00537819462534256,0.00150844729877215,-0.00117011662699053,-0.00137406218261244,-0.0170332360105247,0.000607737576891742,-0.0178902678620419,0.00557791032331378,-0.00637830777883667,0.00378401035084518,-0.0113115327031253
8,alap,0.00289281698818649,0.00572515742426294,-0.00492981223509418,0.0391831668745221,0.0141223834112673,4.53168783283246e-05,2.55397236486167e-05,0.00147451838244932,-0.00778550272438287,-0.00491750724983277,-0.00492981223509418,0.00175749012736703,-0.0011504032535876,-0.00142481237568872,-0.0163715740467128,0.000707430636345123,-0.0171037359982075,0.00612311920217344,-0.00590344172745628,0.00435401730972365,-0.0107684719316932
9,alap,0.00351833991002202,0.00617640258638836,-0.00455005160157296,0.041260976399174,0.0159067833645298,3.63341125787543e-05,9.12060650256512e-06,0.00146967411838591,-0.00735134152385128,-0.00453506741582211,-0.00455005160157296,0.00190676336730689,-0.00113527735059526,-0.00145844806238565,-0.0156519775903901,0.000456125748846938,-0.0164857978819337,0.00648551789502908,-0.00551505686368332,0.00475611831277217,-0.0102709057148898
10,alap,0.00403317721726202,0.00648812727936134,-0.0042122676358391,0.0426188388590429,0.0175061285156007,2.68384992998968e-05,-6.94082527396514e-06,0.00145141826358632,-0.00696774498173046,-0.00419507500475157,-0.0042122676358391,0.00196695752143931,-0.00112428511352077,-0.00148042198747477,-0.0148533635793978,-0.000119048537726676,-0.0159859899325203,0.00667371200540782,-0.00518141423986022,0.00500249682193282,-0.00977725599441646
11,alap,0.00444616939913188,0.00666522033872735,-0.00389022327143024,0.0432571549721946,0.0188846414439464,1.72770874905889e-05,-2.25154853094397e-05,0.00141964186934285,-0.00663155623306293,-0.00387025694635743,-0.00389022327143024,0.00194915334463459,-0.00111639526130232,-0.00149454379908358,-0.0139610665042828,-0.000985552753619457,-0.0155534291762071,0.00669743086334383,-0.00487110420513315,0.00510509690610695,-0.00925002258753458
12,alap,0.00476399645626241,0.00671213213859714,-0.00356160882144624,0.0431772672674052,0.0200098879922857,7.77513892068855e-06,-3.76165635576786e-05,0.0013749209488614,-0.00633954938684112,-0.00353758605716068,-0.00356160882144624,0.00186336911998744,-0.00111034209379337,-0.00150329548871712,-0.0129654492359532,-0.00210944631810911,-0.0151424770957454,0.00656577750104475,-0.00455716075913921,0.00507426000621094,-0.00865883386993218
13,alap,0.00499085258420233,0.00663218754476535,-0.00320872393679285,0.0423788889089699,0.0208520718532248,-0.00023303787044675,-0.000161744428155805,0.00131799311257778,-0.00608868302795169,-0.00317886406438187,-0.00320872393679285,0.0017179783453453,-0.00110479296539435,-0.00219400581234299,-0.0118606562705589,-0.00345759546862541,-0.0147139844758378,0.00628639851381582,-0.00421787120976046,0.00491819511306906,-0.00798043056181405
14,alap,0.00505281710190726,0.0063450715606559,-0.00284909313324615,0.0408580585760027,0.0213837277919585,-0.000510079261547432,-0.000298367610003681,0.00089787589386983,-0.00606851470903793,-0.00281188605284842,-0.00284909313324615,0.00139464127154402,-0.00109843007980879,-0.00208061316639528,-0.0107622261907501,-0.00514633341134758,-0.0143451308999809,0.00576608002885785,-0.00387238901830645,0.00453193209705933,-0.00726629583075237
15,alap,0.00499027333631272,0.00591130112149103,-0.00248943086710595,0.0387253820634447,0.021643748089435,-0.000775880418456009,-0.00043164778747028,7.76616216242396e-05,-0.0062894700481675,-0.00244379091875,-0.00248943086710595,0.000966316696535878,-0.00108964707109238,-0.00199395234465854,-0.00967257911965769,-0.00703958380156073,-0.014024209994418,0.00508121670392377,-0.00352721662943345,0.00398914705242704,-0.00653040817104946
16,alap,0.00483518363124577,0.00537695881563367,-0.00213236640607076,0.0361102135913044,0.0216767991645307,-0.00103461146302173,-0.000562654735302891,-0.00110555969551011,-0.00673361753223814,-0.00207766173133725,-0.00213236640607076,0.000480246540625118,-0.00107700212008026,-0.00194042783432303,-0.00859557699957743,-0.00902404575375565,-0.0137337936835158,0.00429015899525372,-0.00318429717759934,0.00334482069579443,-0.00578397750111239
17,alap,0.0046147073315883,0.00477885303366057,-0.00177954097571055,0.0331636454026414,0.0215357109709919,-0.000996979549585133,-0.00055821587842286,-0.00262289113452763,-0.00738580235292106,-0.00171561044839842,-0.00177954097571055,-3.47041641041226e-05,-0.00105941047417388,-0.00167355393755221,-0.00753616652540354,-0.0110051380850408,-0.0134570053415797,0.00343935053923346,-0.0028446345468424,0.00264181160328085,-0.00503786662071208
18,alap,0.0043727278110141,0.00417668339477995,-0.00143281825288422,0.0300636753023876,0.0212847350417745,-0.00095417331181213,-0.000550690477316775,-0.00400715549317065,-0.00799757664160319,-0.0013601546056018,-0.00143281825288422,-0.00051969384352471,-0.00103621003777332,-0.00144334849677922,-0.00649995648763023,-0.0128597530823382,-0.0131796321556372,0.00260198869623415,-0.00250972890406076,0.00194963358440923,-0.00430370546157927
19,alap,0.0041373642802085,0.00360818135627273,-0.0010945421361694,0.0269508997962078,0.0209723387391912,-0.000908212450081788,-0.0005408199367773,-0.00525714115246655,-0.00856553632340726,-0.00101411999788848,-0.0010945421361694,-0.000942379642659011,-0.00100723021834022,-0.00124766675863221,-0.00549272626929001,-0.0145099384025043,-0.0128936062949115,0.00182385997440316,-0.00218191697477726,0.00131101022095424,-0.00359225379676179
20,alap,0.00392551118115278,0.00309535058641882,-0.000767374098659514,0.0239324808357409,0.0206335749242225,-0.000860940593573301,-0.000529292704926898,-0.00637476701896754,-0.009087750546123,-0.000680490957128447,-0.000767374098659514,-0.0012881968099879,-0.000972733477165389,-0.00108317104315336,-0.00451999279212462,-0.0159125888144075,-0.0125963210954069,0.00113107364362021,-0.00186411172654913,0.000749746544568615,-0.00291276124894102
21,alap,0.00374618896432899,0.00264915731842782,-0.000454001284809211,0.0210865094612046,0.0202924545537349,-0.000813934675426268,-0.000516717186192937,-0.00736465837025058,-0.00956359494772587,-0.000362139908653779,-0.000454001284809211,-0.00155408057961228,-0.000933310259571214,-0.000945998014461242,-0.0035866825325534,-0.0170504508689234,-0.0122892265295592,0.000535902167731605,-0.00155940317856094,0.000276543108035013,-0.00227264059272657
22,alap,0.00360301565464429,0.00227300328982461,-0.000156860203117064,0.018466426020465,0.0199641808414568,-0.00076846793933467,-0.000503609500458067,-0.00823360615838598,-0.00999354565507366,-6.15745464272979e-05,-0.000156860203117064,-0.00174404726842832,-0.000889768130479734,-0.00083219666492507,-0.00269691440207367,-0.0179248003509033,-0.0119763930234698,4.11277932339418e-05,-0.00127068849603431,-0.000106742618117011,-0.00167733212724943
23,alap,0.00349601933598474,0.00196527862797783,0.000122064503803382,0.0161052678063082,0.0196571617368954,-0.000725508558024055,-0.000490391420681101,-0.00898999711825538,-0.010378962069375,0.000219239930889866,0.000122064503803382,-0.00186613228983343,-0.000843032964648967,-0.000737999505913256,-0.0018538814374247,-0.0185496278571597,-0.0116632781728144,-0.000356746052426002,-0.00100039969189226,-0.000403991610624409,-0.00113032497693788
24,alap,0.00342295512409706,0.00172122353036599,0.000381353265114622,0.0140195993917454,0.0193747596740236,-0.000685740365327089,-0.000477394867020337,-0.00964327027053917,-0.0107218768877533,0.000478971770589661,0.000381353265114622,-0.00193030746521292,-0.00079406854005441,-0.000659976136153219,-0.0010598128973703,-0.0189471010266735,-0.0113557668450853,-0.000665141280740896,-0.000750342830028456,-0.000622580274786523,-0.00063330006365393
25,alap,0.00338025005892974,0.00153427064643271,0.000620186516328365,0.0122130434585713,0.0191167669080817,-0.000649595973005461,-0.000464870272309489,-0.0102034321123094,-0.0110248045221539,0.000716937407690504,0.000620186516328365,-0.00194710109527341,-0.000743815422916793,-0.000595106409966895,-0.000315997474453503,-0.0191440867207376,-0.0110594835171695,-0.000893700210275436,-0.000521636091856203,-0.000771779915434919,-0.000186355281044783
26,alap,0.00336366958070833,0.00139699744008514,0.0008383199301595,0.0106793750516794,0.0188806142306889,-0.000617295499452313,-0.000452996901918466,-0.0106806463856622,-0.0112905737996301,0.000933059112972795,0.0008383199301595,-0.00192671897582307,-0.000693147569764673,-0.000540800630122677,0.000377150095311171,-0.0191695430550307,-0.0107793438003191,-0.00105307080729046,-0.000314723802860892,-0.000861635126159123,0.000211724320250294
27,alap,0.00336877677320826,0.00130178629220067,0.00103601980018629,0.00940517384809231,0.0186623329358361,-0.000588886375457205,-0.00044189381116309,-0.0110849032255466,-0.0115221871647703,0.0011277856671071,0.00103601980018629,-0.00187851899969462,-0.000642844086252679,-0.000494886496367126,0.00101999418156385,-0.0190526173454596,-0.0105193004551262,-0.00115406157427926,-0.000129442081657546,-0.000902198245974795,0.000563182071179734
28,alap,0.00339123844193802,0.00124126663015104,0.00121397608719751,0.00837205040384252,0.0184572966279797,-0.000564281342309627,-0.000431630576619228,-0.0114257653549642,-0.0117227061796509,0.00130199359706143,0.00121397608719751,-0.00181073177568683,-0.000593573329722059,-0.00045557667221668,0.00161356751128591,-0.018821309893741,-0.0102822382117201,-0.00120707388263192,3.48853851983675e-05,-0.000903027178311419,0.000871013822079743
29,alap,0.00342701901964772,0.00120859571436954,0.00137320691546925,0.00755847599369319,0.0182607724016026,-0.000543292945039293,-0.000422237270379991,-0.0117121847275267,-0.0118951616090767,0.00145688261214047,0.00137320691546925,-0.00173034891702606,-0.000545886651148052,-0.000421426459245619,0.00215945416243396,-0.0185015849797864,-0.0100699760095901,-0.00122174096839029,0.000179338474119276,-0.000872876409031702,0.00113871601235539
30,alap,0.00347249329335965,0.00119762130858034,0.00151496443081978,0.00694125360310182,0.0180683112856982,-0.000525663656816517,-0.000413713383996335,-0.0119523807676101,-0.0120424855313157,0.0015938748854987,0.00151496443081978,-0.00164312220207609,-0.000500219350512921,-0.000391287875321948,0.00265967351294688,-0.0181168295389763,-0.00988334176614393,-0.00120671917418433,0.000305291041140316,-0.000819528059940875,0.00137006660530983
31,alap,0.00352450130436319,0.00120295921162333,0.00164064849557537,0.00649667143509127,0.0178760065365394,-0.000511091337996361,-0.000406035573791859,-0.0121537704875907,-0.0121674625271235,0.00171452432570815,0.00164064849557537,-0.0015536327409886,-0.000456896765570014,-0.000364264147565356,0.0031165702785169,-0.0176875768894928,-0.00972229174522107,-0.0011695896189932,0.000414308865142197,-0.000749722721720415,0.00156894283264235
32,alap,0.00358036293604948,0.00122001074910966,0.0017517319223313,0.00620138116188461,0.0176806460356589,-0.000499250105009274,-0.000399164209743033,-0.0123229407969656,-0.0122726969217065,0.00182043918542033,0.0017517319223313,-0.00146540106525343,-0.000416143771821167,-0.000339667026961121,0.00353271405033806,-0.0172314276521618,-0.00958605312394565,-0.00111683823493069,0.000508059999638562,-0.000669159661861172,0.00173917607557973
33,alap,0.00363786525276107,0.00124493924098335,0.00184969886438196,0.00603304200070439,0.0174797821780378,-0.000489806914399329,-0.000393048780698815,-0.0124656539167314,-0.0123605931742445,0.00191321927486254,0.00184969886438196,-0.00138101776112234,-0.000378096311287566,-0.000316978230647111,0.00391081036162563,-0.016763112804544,-0.00947327403760848,-0.00105388969994487,0.000588239870559385,-0.000582543551350337,0.00188444177919434
