lepcso,teszt,elteres,turhatar,rendben,megjegyzes
2. lepcso,szimmetria: y_E==y_D==y_L,0,1e-08,1,"jv_dsge_v07_3type"
2. lepcso,szimmetria: i_E==i_D==i_L,0,1e-08,1,"jv_dsge_v07_3type"
2. lepcso,szimmetria: efp_E==efp_D==efp_L,0,1e-08,1,"jv_dsge_v07_3type"
3. lepcso,szimmetria: y_E==y_D==y_L,1.38777878078145e-16,1e-08,1,"jv_dsge_v08_3type_arak"
3. lepcso,szimmetria: i_E==i_D==i_L,4.44089209850063e-16,1e-08,1,"jv_dsge_v08_3type_arak"
3. lepcso,szimmetria: efp_E==efp_D==efp_L,0,1e-08,1,"jv_dsge_v08_3type_arak"
3. lepcso,szimmetria: p_j == 0,2.16751966203381e-17,1e-08,1,"jv_dsge_v08_3type_arak"
2. lepcso,aggregacio: sum(wd*mc)==mc_d,0,1e-10,1,""
2. lepcso,y_E MECHANIKUS (dok. korlat),0,1e-10,1,"0 = a korlat fennall"
3. lepcso,aggregacio: sum(wd*d)==y_d,0,1e-10,1,""
3. lepcso,aggregacio: sum(wx*x)==xx,4.33680868994202e-19,1e-10,1,""
3. lepcso,normalizacio: sum(wd*p)==0,2.71050543121376e-20,1e-10,1,"v01 egyseggyok"
3. lepcso,y_E == (1-phi)d_E+phi*x_E,0,1e-10,1,""
3. lepcso,y_E MAR NEM mechanikus,0,1e-09,1,"elteres=0.4455 (nagy = jo)"
3. lepcso,sum(om*y_j) == w_d*y_d + w_x*y_x,4.33680868994202e-19,1e-10,1,"a y_j BRUTTO kibocsatas, NEM GDP-komponens"
2. lepcso,nulla-sokk: minden valtozo 0,0,1e-09,1,"jv_dsge_v07_3type"
3. lepcso,nulla-sokk: minden valtozo 0,0,1e-09,1,"jv_dsge_v08_3type_arak"
2+3 osszevetes,eps_ces->0 kozelit a v07-hez,0,0.5,1,"elteres 6.0-nal 0.462 pp, 0.25-nel 0.075 pp"
