parameter,jelenlegi,uj_ALAP,uj_KUSZOB25,elteres_pct
om_E,0.18,0.255503463489475,0.128702088100493,41.9463686052639
om_D,0.37,0.184402456638662,0.311203832027645,-50.161498205767
om_L,0.45,0.560094079871863,0.560094079871863,24.4653510826362
shl_E,0.2,0.156554395636961,0.0748663270471662,-21.7228021815193
shl_D,0.5,0.377535486610357,0.459223555200152,-24.4929026779286
shl_L,0.3,0.465910117752681,0.465910117752681,55.3033725842272
phi_E,0.56,0.375714935720175,0.691075270423414,-32.908047192826
phi_D,0.05,0,0.0226656496392292,-100
phi_L,0.365,0.36486647400386,0.36486647400386,-0.0365824646958335
lev_E,1.6,1.93850771372231,1.93136940311355,21.1567321076441
lev_D,1.6,1.71850314034541,1.73513552843953,7.40644627158793
lev_L,1.85,2.33740491835794,2.33740491835794,26.3462118031317
delta,0.025,0.0241842142911739,0.0241842142911739,-3.2631428353044
rho_acc,0.85,0.967268740505529,0.967268740505529,13.7963224124152
