OPTEN,SCENARIO,TSCEN,accscale,rho_acc,konvergalt,GDP_pct,y_E_pct,y_D_pct,y_L_pct,y_KKV_pct,KKV_minus_L_pp,D_minus_L_pp,E_minus_L_pp,acc_E,acc_D,rer_pct,bstar_pct,solver_ok,bk_check_ok,bk_ok,ervenyes,n_forward,n_unstable,bk_qz_criterium,bk_info_code,nearest_unit_complex
1,1,3,0,0.85,1,0.416895028578372,-0.27605178901848,0.233364048171301,0.349825817408486,-0.0625117108693655,-0.412337528277852,-0.116461769237186,-0.625877606426967,0,0,0.446206792574008,-1,1,1,1,1,13,13,1.000001,0,0.920559746821211
1,1,3,2,0.85,1,0.417000230396132,-0.275705300331276,0.234073791196117,0.349558377128148,-0.0620129509844899,-0.411571328112638,-0.115484585932031,-0.625263677459424,0.00902048833259211,0.01000609342502,0.446190372706342,-1,1,1,1,1,13,13,1.000001,0,0.920515144099243
1,1,3,4,0.85,1,0.417315792430081,-0.274666040776022,0.236201662293451,0.348756433154686,-0.0605173605168474,-0.409273793671533,-0.112554770861235,-0.623422473930707,0.0180390487324378,0.0200022911635885,0.446141448541743,-1,1,1,1,1,13,13,1.000001,0,0.920378189292498
1,1,3,6,0.85,1,0.417841584532528,-0.272934629177444,0.239743593828688,0.34742111442103,-0.0580270039846028,-0.405448118405633,-0.107677520592341,-0.620355743598474,0.0270537566503501,0.0299787282433035,0.446061024664745,-1,1,1,1,1,13,13,1.000001,0,0.920139831210707
1,1,3,8,0.85,1,0.41857739015748,-0.270512094601265,0.244692827345653,0.345554296930595,-0.0545453121347688,-0.400099609065364,-0.100861469584942,-0.61606639153186,0.0360626942845464,0.0399256009213522,0.445950769629091,-1,1,1,1,1,13,13,1.000001,0,0.919785989776897
1,1,3,10,0.85,1,0.419522906907924,-0.267399872910804,0.251039944779813,0.343158595479913,-0.0500770668590883,-0.393235662339001,-0.0921186507001,-0.610558468390717,0.0450639539052796,0.0498331968052292,0.445813007379665,-1,1,1,1,1,13,13,1.000001,0,0.919298151988914
1,1,3,12,0.85,1,0.420677747296134,-0.263599801985603,0.25877291178131,0.340237352169285,-0.0446283802565306,-0.384865732425816,-0.0814644403879746,-0.603837154154888,0.0540556411211822,0.0596919243866678,0.44565070534773,-1,1,1,1,1,13,13,1.000001,0,0.919456130476799
1,1,3,14,0.85,1,0.422041439711237,-0.259114115640813,0.267877132778571,0.336794621798782,-0.0382066680196845,-0.375001289818466,-0.0689174890202111,-0.595908737439594,0.0630358780688794,0.0694923418032584,0.445467459322284,-1,1,1,1,1,13,13,1.000001,0,0.920667186863114
1,1,3,16,0.85,1,0.423613429586715,-0.253945436296244,0.27833551731645,0.332835154272434,-0.0308206173688042,-0.363655771641239,-0.0544996369559843,-0.586780590568679,0.0720028065082526,0.0792251846506402,0.44526747522729,-1,1,1,1,1,13,13,1.000001,0,0.921818086018496
1,1,3,18,0.85,1,0.425393080759142,-0.248096766453477,0.290128557112428,0.328364374157317,-0.0224801498007084,-0.350844523958025,-0.0382358170448886,-0.576461140610794,0.0809545908067363,0.0888813926784001,0.445055547959701,-1,1,1,1,1,13,13,1.000001,0,0.922896367720665
1,1,3,20,0.85,1,0.427379677008112,-0.241571479048156,0.303234413191285,0.323388357566099,-0.0131963789596067,-0.336584736525705,-0.0201539443748137,-0.564959836614255,0.0898894207972007,0.0984521352147349,0.444837037466341,-1,1,1,1,1,13,13,1.000001,0,0.923898511890195
1,1,3,25,0.85,1,0.433246150272905,-0.222323407869952,0.341579432471913,0.308783353159883,0.0140568689180454,-0.294726484241837,0.0327960793120304,-0.531106761029834,0.112140702663536,0.121949477466899,0.444301915446689,-1,1,1,1,1,13,13,1.000001,0,0.926086277409015
1,1,3,30,0.85,1,0.440386390921128,-0.198938335714578,0.387541274763579,0.291184589558001,0.0469058110737196,-0.244278778484281,0.0963566852055786,-0.490122925272579,0.134248011983471,0.144733754824461,0.443869362534754,-1,1,1,1,1,13,13,1.000001,0,0.927881280896429
1,1,3,35,0.85,1,0.448783156916626,-0.171496133466327,0.440616468902095,0.270732768065977,0.0850930092405083,-0.185639758825468,0.169883700836118,-0.442228901532304,0.156185810237995,0.166691538913496,0.443661539134596,-1,1,1,1,1,13,13,1.000001,0,0.929363013243116
1,1,3,40,0.85,1,0.458416659627309,-0.14008753501136,0.500242842184563,0.247585452912312,0.128330108896184,-0.119255344016128,0.252657389272252,-0.387672987923671,0.177930151284477,0.18772347636897,0.443813815997398,-1,1,1,1,1,13,13,1.000001,0,0.930597364776653
1,1,3,45,0.85,1,0.469264812563803,-0.104812611266405,0.56581305175218,0.221913473078721,0.176304397737066,-0.0456090753416544,0.343899578673459,-0.326726084345126,0.199458810347332,0.207745267673229,0.444471077619553,-1,1,1,1,1,13,13,1.000001,0,0.932327868049155
1,1,3,50,0.85,1,0.481303488722424,-0.0657792072713434,0.63668831821329,0.193897266178305,0.228685470381229,0.0347882042029241,0.442791052034986,-0.259676473449648,0.220751365844987,0.226688176240513,0.445783979802092,-1,1,1,1,1,13,13,1.000001,0,0.936420456313411
1,1,3,60,0.85,1,0.508847239459514,0.0231019967909352,0.791721478301926,0.131580693902417,0.345296660102203,0.213715966199786,0.660140784399509,-0.108478697111482,0.262555676001909,0.2611401903285,0.450986538068378,-1,1,1,1,1,13,13,1.000001,0,0.944324090195395
1,1,3,80,0.85,1,0.576991182122992,0.240702022713777,1.13679706394821,-0.0129638205129077,0.616332678780221,0.629296499293128,1.14976088446111,0.253665843226685,0.342633484260107,0.315739131849001,0.475732399631381,-1,1,1,1,1,13,13,1.000001,0,0.958896624043432
1,1,3,100,0.85,1,0.660881701575579,0.504783150685484,1.49785363400584,-0.174956260204705,0.92106457174544,1.09602083195014,1.67280989421055,0.679739410890189,0.417458621717133,0.351909110319918,0.525871591437436,-1,1,1,1,1,13,13,1.000001,0,0.972848185496405
1,1,3,120,0.85,1,0.758437757679472,0.80766287034539,1.84695637993012,-0.345629555230983,1.24332034515199,1.58894990038297,2.1925859351611,1.15329242557637,0.486654561560237,0.372160226138962,0.606016782503966,-1,1,1,1,1,13,13,1.000001,0,0.983475562728257
1,1,3,140,0.85,1,0.867563566193273,1.142263376157,2.16702750424257,-0.518920601557276,1.57183033505443,2.0907509366117,2.68594810579985,1.66118397771427,0.55006140478016,0.379849857096651,0.717401902403829,-1,1,1,1,1,13,13,1.000001,0,0.99061291683731
1,1,3,0,0.9,1,0.416895028578372,-0.27605178901848,0.233364048171301,0.349825817408486,-0.0625117108693655,-0.412337528277852,-0.116461769237186,-0.625877606426967,0,0,0.446206792574008,-1,1,1,1,1,13,13,1.000001,0,0.920559746821211
1,1,3,2,0.9,1,0.417052828590729,-0.275532068897941,0.234428577802122,0.349424680550907,-0.0617636141321046,-0.411188294683012,-0.114996102748786,-0.624956749448849,0.0135304914543716,0.0150079026962614,0.446182183746433,-1,1,1,1,1,13,13,1.000001,0,0.92054795500192
1,1,3,4,0.9,1,0.417526130954996,-0.273973373045376,0.237619112427352,0.348222117616923,-0.0595208740202087,-0.407742991637131,-0.110603005189571,-0.622195490662298,0.0270566460121528,0.029993548740994,0.446109111675431,-1,1,1,1,1,13,13,1.000001,0,0.920507192388012
1,1,3,6,0.9,1,0.418314643024675,-0.271377092646897,0.242926510473847,0.346220665893487,-0.055788130574914,-0.402008796468401,-0.10329415541964,-0.617597758540384,0.0405741381851702,0.0449347850308592,0.445989833761533,-1,1,1,1,1,13,13,1.000001,0,0.920422020717411
1,1,3,8,0.9,1,0.419417878291024,-0.267745538571295,0.250335606474286,0.343424535500058,-0.0505730831350479,-0.393997618635106,-0.0930889290257718,-0.611170074071354,0.0540786652025081,0.0598096645562645,0.445828092966399,-1,1,1,1,1,13,13,1.000001,0,0.920301168265253
1,1,3,10,0.9,1,0.420835158221264,-0.263081929807912,0.259825315845974,0.339839581601606,-0.0438864396997589,-0.383726021301365,-0.0800142657556323,-0.602921511409518,0.0675659581218181,0.0745965469582415,0.445629089019354,-1,1,1,1,1,13,13,1.000001,0,0.922056045748566
1,1,3,12,0.9,1,0.422565614802537,-0.257390377477502,0.271368779695241,0.335473266003944,-0.0357418469418033,-0.371215112945747,-0.0641044863087024,-0.592863643481446,0.0810317926483558,0.0892741961433718,0.445399438631637,-1,1,1,1,1,13,13,1.000001,0,0.923594411389743
1,1,3,14,0.9,1,0.42460819376279,-0.250675864609076,0.284933547808099,0.330334608616205,-0.026155801754502,-0.356490410370707,-0.0454010608081057,-0.581010473225281,0.0944719995717103,0.103821874051604,0.445147125230451,-1,1,1,1,1,13,13,1.000001,0,0.924941323174723
1,1,3,16,0.9,1,0.426961658432545,-0.242944221924079,0.300481797527224,0.324434129386734,-0.0151475454366493,-0.339581674823383,-0.0239523318595102,-0.567378351310813,0.107882474736292,0.11821942973408,0.444881438853149,-1,1,1,1,1,13,13,1.000001,0,0.926125696286286
1,1,3,18,0.9,1,0.429624594204985,-0.234202099912831,0.317970585800835,0.317783781427936,-0.00273894181871839,-0.320522723246654,0.000186804372899141,-0.551985881340767,0.121259188468979,0.132447382972995,0.444612906957179,-1,1,1,1,1,13,13,1.000001,0,0.927173013606627
1,1,3,20,0.9,1,0.432595413546069,-0.224456937526174,0.337352131327936,0.310396876140845,0.0110456591928484,-0.299351216947997,0.0269552551870909,-0.534853813667019,0.134598194395721,0.146487001761229,0.444353217001943,-1,1,1,1,1,13,13,1.000001,0,0.928104323637856
1,1,3,25,0.9,1,0.441357539800798,-0.195761252162425,0.3937332757865,0.288805807540775,0.0513467063594703,-0.237459101181305,0.104927468245724,-0.4845670597032,0.167755684572493,0.180646716857088,0.443828829916535,-1,1,1,1,1,13,13,1.000001,0,0.930029660364193
1,1,3,30,0.9,1,0.452000823889992,-0.160996540667883,0.460680915121222,0.26296415789406,0.0996020563939745,-0.163362101500086,0.197716757227162,-0.423960698561943,0.200596279559345,0.213265129373225,0.443666495085142,-1,1,1,1,1,13,13,1.000001,0,0.933008679228592
1,1,3,35,0.9,1,0.464487902008909,-0.120333621414502,0.537141977655108,0.233167331551368,0.155271062532841,-0.0778962690185271,0.30397464610374,-0.35350095296587,0.233067009320763,0.244126654059323,0.444119222477213,-1,1,1,1,1,13,13,1.000001,0,0.937975275243488
1,1,3,40,0.9,1,0.478776441782189,-0.0739630954001903,0.621972539490691,0.199737708915199,0.217763503994851,0.0180257950796518,0.422234830575492,-0.273700804315389,0.265119729752267,0.273057716027953,0.445458489472661,-1,1,1,1,1,13,13,1.000001,0,0.942870924989839
1,1,3,45,0.9,1,0.49481985229123,-0.0220910590714152,0.713975297343801,0.16301466383121,0.286457784126961,0.123443120295752,0.550960633512591,-0.185105722902625,0.296711328674832,0.299927773151122,0.447964044564727,-1,1,1,1,1,13,13,1.000001,0,0.947559170890541
1,1,3,50,0.9,1,0.512567981393878,0.035065031538475,0.811935119760981,0.123345072645559,0.360718235148909,0.237373162503351,0.688590047115422,-0.0882800411070837,0.327803755485038,0.324648596800223,0.451914279578319,-1,1,1,1,1,13,13,1.000001,0,0.951927764715952
1,1,3,60,0.9,1,0.552963875374207,0.164325200245691,1.02096390136721,0.0365410010904155,0.523416303875625,0.48687530278521,0.984422900276794,0.127784199155276,0.388363346908013,0.367486841836134,0.465205179586785,-1,1,1,1,1,13,13,1.000001,0,0.959593810681184
1,1,3,80,0.9,1,0.651751487439213,0.476220035937113,1.46154551979783,-0.158073326027297,0.889254860269727,1.04732818629702,1.61961884582513,0.63429336196441,0.502330497531095,0.427473096606762,0.519492812576983,-1,1,1,1,1,13,13,1.000001,0,0.97397666787711
1,1,3,100,0.9,1,0.771354398429584,0.847478122363037,1.88836982951001,-0.367023926735764,1.28380553949853,1.65082946623429,2.25539375624578,1.2145020490988,0.606022003036399,0.45771433714656,0.618112043389937,-1,1,1,1,1,13,13,1.000001,0,0.989616017400576
1,1,3,120,0.9,1,0.907928600821639,1.26511303494051,2.27003650998507,-0.579170851598268,1.68636306630722,2.26553391790549,2.84920736158334,1.84428388653877,0.699070935552884,0.465649647502252,0.763349821524439,-1,1,1,1,1,13,13,1.000001,0,0.999661847123918
1,1,3,140,0.9,1,1.05772467876818,1.71756207616712,2.59443679867266,-0.788281930060722,2.08513584027265,2.87341777033337,3.38271872873338,2.50584400622784,0.781469157617729,0.458514297323545,0.951722115314601,-1,1,1,0,0,13,15,1.000001,3,1.00584909868729
1,1,3,0,0.93,1,0.416895028578372,-0.27605178901848,0.233364048171301,0.349825817408486,-0.0625117108693655,-0.412337528277852,-0.116461769237186,-0.625877606426967,0,0,0.446206792574008,-1,1,1,1,1,13,13,1.000001,0,0.920559746821212
1,1,3,2,0.93,1,0.417120452182518,-0.275309355413121,0.234884648863799,0.349252808026338,-0.061443080376376,-0.410695888402714,-0.114368159162539,-0.624562163439459,0.0193288308158674,0.0214375885468852,0.446171675621998,-1,1,1,1,1,13,13,1.000001,0,0.92060334757058
1,1,3,4,0.93,1,0.41779652371696,-0.273083002233153,0.23944022084012,0.347535508933583,-0.0582403508698626,-0.405775859803446,-0.108095288093463,-0.620618511166737,0.0386488133188934,0.0428297780175764,0.446067863530447,-1,1,1,1,1,13,13,1.000001,0,0.920733414293412
1,1,3,6,0.93,1,0.418922646430668,-0.269375565570707,0.247012135601907,0.344679090901914,-0.0529129784003729,-0.397592069302287,-0.0976669553000069,-0.614054656472621,0.0579511324154126,0.0641314708076234,0.445899955606005,-1,1,1,1,1,13,13,1.000001,0,0.920945114511025
1,1,3,8,0.93,1,0.420497829330621,-0.264191749644636,0.25756955053163,0.340692117552712,-0.0454766240422184,-0.386168741594931,-0.0831225670210823,-0.604883867197348,0.0772270390365892,0.0852981680925109,0.445675561053857,-1,1,1,1,1,13,13,1.000001,0,0.92122300697725
1,1,3,10,0.93,1,0.422520692508042,-0.257538093312589,0.271069712264428,0.335586464900469,-0.0359530072739392,-0.371539472174408,-0.0645167526360405,-0.593124558213057,0.0964678821266387,0.106286258906935,0.44540521561806,-1,1,1,1,1,13,13,1.000001,0,0.927776387700426
1,1,3,12,0.93,1,0.424989474473314,-0.249422924003729,0.287458373632465,0.329377210763312,-0.0243697044444787,-0.35374691520779,-0.041918837130847,-0.578800134767041,0.115665139428594,0.127053297122658,0.445102267043084,-1,1,1,1,1,13,13,1.000001,0,0.928990696057188
1,1,3,14,0.93,1,0.427902041382008,-0.239856299859446,0.306670316678638,0.322082496018461,-0.0107598959275917,-0.332842391946053,-0.0154121793398234,-0.561938795877907,0.134810446710068,0.147558262733093,0.444782731445519,-1,1,1,1,1,13,13,1.000001,0,0.929983590521497
1,1,3,16,0.93,1,0.431255898006622,-0.228849941055097,0.328629972469751,0.313723360146213,0.00483793358455306,-0.30888542656166,0.0149066123235383,-0.542573301201309,0.153895625106592,0.167761804211332,0.444465123176526,-1,1,1,1,1,13,13,1.000001,0,0.93079469891428
1,1,3,18,0.93,1,0.435048200284916,-0.216417151434315,0.353252126933223,0.304323553903198,0.0223803364742417,-0.281943217428956,0.0489285730300252,-0.520740705337513,0.172912706301621,0.187626459132463,0.444170261174654,-1,1,1,1,1,13,13,1.000001,0,0.931448346023271
1,1,3,20,0.93,1,0.439275769256481,-0.202572731715111,0.380442700731036,0.293909332284894,0.0418192795216916,-0.252090052763202,0.0865333684461423,-0.496482064000005,0.1918539553089,0.207116850726374,0.443921055145115,-1,1,1,1,1,13,13,1.000001,0,0.93195360106256
1,1,3,25,0.93,1,0.451725279808958,-0.161895319980496,0.458968581790016,0.263627949486653,0.0983622464811601,-0.165265703005493,0.195340632303363,-0.425523269467149,0.238826885583401,0.253994009417911,0.443664256079117,-1,1,1,1,1,13,13,1.000001,0,0.934734942503949
1,1,3,30,0.93,1,0.466809887460761,-0.112786736763538,0.551118002045006,0.227687129286813,0.165512953703149,-0.0621741755836635,0.323430872758194,-0.34047386605035,0.285170640981365,0.297881864824972,0.444278083323622,-1,1,1,1,1,13,13,1.000001,0,0.9409183939448
1,1,3,35,0.93,1,0.484456798393383,-0.055574234546707,0.654932294346689,0.186639128341966,0.242260282225155,0.0556211538831886,0.468293166004722,-0.242213362888673,0.330787736827992,0.338432730208838,0.446226771514705,-1,1,1,1,1,13,13,1.000001,0,0.946895806961645
1,1,3,40,0.93,1,0.504584772613627,0.00938476281340234,0.768356339000822,0.141067550882333,0.327535157559845,0.186467606677512,0.627288788118489,-0.131682788068931,0.375592973842415,0.375403574193491,0.449988053697367,-1,1,1,1,1,13,13,1.000001,0,0.952513234944584
1,1,3,45,0.93,1,0.527105799791969,0.0817125393808997,0.889322992082668,0.0915647923514717,0.420251678908534,0.328686886557062,0.797758199731197,-0.00985225297057198,0.419513404828758,0.408652752791686,0.456030335088572,-1,1,1,1,1,13,13,1.000001,0,0.957591258520661
1,1,3,50,0.93,1,0.551926642230532,0.161019900067025,1.01582607200456,0.0387124593988605,0.51934283279101,0.480630373392149,0.977113612605697,0.122307440668164,0.462487813003744,0.438131993909858,0.464793141745173,-1,1,1,1,1,13,13,1.000001,0,0.96202712403145
1,1,3,60,0.93,1,0.608076616427533,0.339002105952861,1.27805664575272,-0.0748590544077268,0.732640790060826,0.807499844468553,1.35291570016045,0.413861160360588,0.545406859305478,0.485984152779266,0.492005921328111,-1,1,1,1,1,13,13,1.000001,0,0.969114841891215
1,1,3,80,0.93,1,0.743566443680512,0.761745092170216,1.79797953799184,-0.320673226078679,1.19612024972763,1.51679347580631,2.11865276407052,1.08241831824889,0.698263656525405,0.541757326402541,0.592491170939779,-1,1,1,1,1,13,13,1.000001,0,0.983539780317995
1,1,3,100,0.93,1,0.904501804095605,1.25470081429032,2.26157872322661,-0.574127752241281,1.67677011733158,2.25089786957286,2.83570647546789,1.8288285665316,0.833045122859855,0.556572735416174,0.759360444198679,-1,1,1,0,0,13,15,1.000001,3,1.00067664168978
1,1,3,120,0.93,1,1.08446015226301,1.79782662183769,2.64414803960306,-0.823555294032762,2.15259286288323,2.97614815691599,3.46770333363582,2.62138191587045,0.949649342650715,0.545292427059815,0.987869185303782,-1,1,1,0,0,13,15,1.000001,3,1.00996082732964
1,1,3,140,0.93,1,1.27739380059555,2.3736378633884,2.94570588278761,-1.06379507310622,2.61344087038366,3.67723594348988,4.00950095589383,3.43743293649462,1.04853137350301,0.519457871390764,1.26636503651461,-1,1,1,0,0,13,15,1.000001,3,1.01537196327957
1,1,3,0,0.95,1,0.416895028578372,-0.27605178901848,0.233364048171301,0.349825817408486,-0.0625117108693655,-0.412337528277852,-0.116461769237186,-0.625877606426967,0,0,0.446206792574008,-1,1,1,1,1,13,13,1.000001,0,0.920559746821212
1,1,3,2,0.95,1,0.417210612320147,-0.275012426221629,0.235492598152149,0.349023685029102,-0.0610157758589906,-0.410039460888093,-0.113531086876953,-0.624036111250731,0.0270595368957109,0.0300083830514853,0.44615770071908,-1,1,1,1,1,13,13,1.000001,0,0.920624596345939
1,1,3,4,0.95,1,0.41815697310227,-0.271896194306107,0.24186604518271,0.346620674691885,-0.0565341643862666,-0.403154839078151,-0.104754629509175,-0.618516868997992,0.0541017376168039,0.0599278430785439,0.446013438910159,-1,1,1,1,1,13,13,1.000001,0,0.920822716706153
1,1,3,6,0.95,1,0.419732942561868,-0.266708644026138,0.252447949807792,0.342626901909583,-0.0490853753219401,-0.391712277231523,-0.0901789521017917,-0.609335545935721,0.0811093569905503,0.0896702827695016,0.445783001890142,-1,1,1,1,1,13,13,1.000001,0,0.921163012848665
1,1,3,8,0.95,1,0.421936583248425,-0.259458964859098,0.267178139518641,0.33705907738389,-0.0386999695254881,-0.375759046909378,-0.0698809378652489,-0.596518042242988,0.108065330265577,0.119149240306454,0.4454812270268,-1,1,1,1,1,13,13,1.000001,0,0.921652632299519
1,1,3,10,0.95,1,0.424765203119405,-0.250159893915399,0.285973533572554,0.329940288244495,-0.0254201711857365,-0.355360459430231,-0.0439667546719408,-0.580100182159893,0.134952859417819,0.148280667807105,0.445128567698985,-1,1,1,1,1,13,13,1.000001,0,0.92228158737959
1,1,3,12,0.95,1,0.42821537537233,-0.238827591505022,0.308729268263669,0.321299699553619,-0.00929932385022153,-0.33059902340384,-0.0125704312899496,-0.560127291058641,0.161755494911983,0.176983664042367,0.44475078424414,-1,1,1,1,1,13,13,1.000001,0,0.923000560760727
1,1,3,14,0.95,1,0.43228296317372,-0.225481486303342,0.335320094608602,0.311172183466518,0.0095987853951407,-0.301573398071377,0.0241479111420838,-0.53665366976986,0.188457211631467,0.205181148514481,0.444378560272222,-1,1,1,1,1,13,13,1.000001,0,0.923700299920547
1,1,3,16,0.95,1,0.43696314874995,-0.210144093695178,0.365602014361969,0.299597885033337,0.0312007172294368,-0.2683971678039,0.066004129328632,-0.509741978728515,0.215042477870464,0.232800465826289,0.444047053834056,-1,1,1,1,1,13,13,1.000001,0,0.924252715232908
1,1,3,18,0.95,1,0.442250466229969,-0.192840811375624,0.39941411554022,0.28662173487701,0.0554242682408381,-0.231197466636172,0.112792380663211,-0.479462546252634,0.241496316491066,0.259773911406735,0.443795394249157,-1,1,1,1,1,13,13,1.000001,0,0.927670409136865
1,1,3,20,0.95,1,0.448138837576977,-0.173599696635467,0.436580565337945,0.272292919851312,0.0821794356852816,-0.19011348416603,0.164287645486633,-0.445892616486778,0.267804357575992,0.286039171983051,0.443666136312816,-1,1,1,1,1,13,13,1.000001,0,0.930955147239756
1,1,3,25,0.95,1,0.465444420092699,-0.117224218887507,0.542908328149372,0.230907548867994,0.159494220925179,-0.0714133279428148,0.312000779281378,-0.348131767755501,0.33284825872655,0.34824758140856,0.44418186448145,-1,1,1,1,1,13,13,1.000001,0,0.938682546705317
1,1,3,30,0.95,1,0.486345866909651,-0.0494644288903096,0.665799127781886,0.182306642278492,0.250364168178008,0.0680575258995163,0.483492485503394,-0.231771071168801,0.396701902102265,0.404975728358015,0.446511377292332,-1,1,1,1,1,13,13,1.000001,0,0.9460527368195
1,1,3,35,0.95,1,0.510708646471568,0.0290881021093433,0.801855006827452,0.127455315757124,0.353021307906159,0.225565992149035,0.674399691070328,-0.0983672136477807,0.459198478810891,0.455748503599497,0.451444162336345,-1,1,1,1,1,13,13,1.000001,0,0.953024027137307
1,1,3,40,0.95,1,0.538385252964099,0.117803706195792,0.947668212298486,0.0673322173775112,0.465671437328633,0.398339219951122,0.880335994920975,0.0504714888182813,0.520199445746588,0.50032380629133,0.459747744083057,-1,1,1,1,1,13,13,1.000001,0,0.959340826684987
1,1,3,45,0.95,1,0.569218700446149,0.216034423325017,1.09998391493088,0.00288582885544978,0.586573832854731,0.583688003999281,1.09709808607543,0.213148594469567,0.579592909706513,0.538668805641284,0.472124199653019,-1,1,1,1,1,13,13,1.000001,0,0.964750483971507
1,1,3,50,0.95,1,0.603045487815642,0.323129845201516,1.25582216142244,-0.0649985808176839,0.714101573119539,0.779100153937222,1.32082074224012,0.3881284260192,0.637290980462408,0.570926552936733,0.489178235752857,-1,1,1,1,1,13,13,1.000001,0,0.969179413224195
1,1,3,60,0.95,1,0.679006283658908,0.561366833331722,1.56795788584155,-0.207977573449493,0.983315890123749,1.19129346357324,1.77593545929105,0.769344406781215,0.747350209961912,0.61840454095178,0.539142701819659,-1,1,1,1,1,13,13,1.000001,0,0.975620196272166
1,1,3,80,0.95,1,0.859387575206813,1.11732443206147,2.14523065133556,-0.506483575202899,1.54820851215727,2.05469208736017,2.65171422653846,1.62380800726437,0.945185350642415,0.657561013887138,0.70838276995246,-1,1,1,1,1,13,13,1.000001,0,0.991870520461438
1,1,3,100,0.95,1,1.06877852003502,1.7507635861138,2.61525760337367,-0.802932733325011,2.11314752969807,2.91608026302308,3.41819033669868,2.55369631943881,1.1128788225119,0.647138294014539,0.966584629843164,-1,1,1,0,0,13,15,1.000001,3,1.00848294928996
1,1,3,120,0.95,1,1.29704425257727,2.43199690495419,2.97159267743223,-1.08705588794947,2.65818799484951,3.74524388279898,4.0586485653817,3.51905279290366,1.25114674566614,0.611037729118243,1.29621966237945,-1,1,1,0,0,13,15,1.000001,3,1.01704177660334
1,1,3,140,0.95,1,1.53512159048259,3.13583165381456,3.23120477697156,-1.35535792863128,3.17581074885923,4.53116867749051,4.58656270560284,4.49118958244584,1.3616376077177,0.564358909587963,1.67459752178945,-1,1,1,0,0,13,15,1.000001,3,1.02184326924518
1,1,3,0,0.9673,1,0.416895028578372,-0.27605178901848,0.233364048171301,0.349825817408486,-0.0625117108693655,-0.412337528277852,-0.116461769237186,-0.625877606426967,0,0,0.446206792574008,-1,1,1,1,1,13,13,1.000001,0,0.920559746821213
1,1,3,2,0.9673,1,0.417377546188829,-0.274462674521265,0.236617888180653,0.348599543861591,-0.060224766446171,-0.408824310307762,-0.111981655680938,-0.623062218382856,0.041373099813952,0.0458723749359193,0.446131931999188,-1,1,1,1,1,13,13,1.000001,0,0.920628116522667
1,1,3,4,0.9673,1,0.41882418677646,-0.269699667613428,0.246350912753014,0.34492863229283,-0.0533783968255852,-0.398307029118415,-0.0985777195398152,-0.614628299906257,0.0827056958321191,0.0915371035765195,0.445914386829486,-1,1,1,1,1,13,13,1.000001,0,0.920837956942004
1,1,3,6,0.9673,1,0.421232224183591,-0.261775711515683,0.262478238625748,0.338836649982787,-0.0420157014995886,-0.380852351482375,-0.0763584113570385,-0.60061236149847,0.123957608584328,0.13678948142649,0.445575100980894,-1,1,1,1,1,13,13,1.000001,0,0.921203285136593
1,1,3,8,0.9673,1,0.424597149689378,-0.250712158971272,0.284860380422773,0.330362348841078,-0.0262075527783604,-0.356569901619438,-0.0455019684183045,-0.58107450781235,0.165089298663634,0.181430601136164,0.445148435062284,-1,1,1,1,1,13,13,1.000001,0,0.921745572348805
1,1,3,10,0.9673,1,0.428912723050869,-0.236538451827389,0.313306149554096,0.319558896471087,-0.00605119450812147,-0.325610090979208,-0.00625274691699051,-0.556097348298476,0.206062165711357,0.225270039262626,0.444681370104566,-1,1,1,1,1,13,13,1.000001,0,0.92248577975934
1,1,3,12,0.9673,1,0.434171041496667,-0.21929168894595,0.347576555470874,0.306492841099442,0.018331644244462,-0.28816119685498,0.0410837143714322,-0.525784530045392,0.246838823299688,0.26812830063665,0.444232436548043,-1,1,1,1,1,13,13,1.000001,0,0.923423237788866
1,1,3,14,0.9673,1,0.440362624388442,-0.19901609773023,0.387389563686129,0.291242848750036,0.0467970506334359,-0.2444457981166,0.0961467149360934,-0.490258946480266,0.287383343507503,0.309838958221872,0.443870409015287,-1,1,1,1,1,13,13,1.000001,0,0.924494479086656
1,1,3,16,0.9673,1,0.447476510850674,-0.175762427313759,0.432425538801609,0.273898257944741,0.0791815621194621,-0.194716695825278,0.158527280856869,-0.449660685258499,0.327661466378132,0.350250440575249,0.443672814673519,-1,1,1,1,1,13,13,1.000001,0,0.925457723155447
1,1,3,18,0.9673,1,0.455500367403541,-0.149587283208154,0.482333184297885,0.254557501564011,0.115305042793468,-0.139252458770543,0.227775682733874,-0.404144784772166,0.367640770991924,0.389227434776169,0.443724307565889,-1,1,1,1,1,13,13,1.000001,0,0.927896054693554
1,1,3,20,0.9673,1,0.464420602523218,-0.120552423911548,0.536735784387728,0.233326447210751,0.154973708414859,-0.0783527387958917,0.303409337176977,-0.353878871122299,0.407290806479892,0.426651888947899,0.444114963070437,-1,1,1,1,1,13,13,1.000001,0,0.931957382877571
1,1,3,25,0.9673,1,0.490543692219926,-0.0358973562194802,0.689780423666681,0.172720826153888,0.268296739281788,0.0955759131279001,0.517059597512793,-0.208618182373369,0.504794237449588,0.51280763477776,0.447195235889929,-1,1,1,1,1,13,13,1.000001,0,0.941150790706384
