irany,skala,konvergalt,GDP_pct,KKV_minus_L_pp,hatas_pp,hatas_per_skala,solver_ok,bk_check_ok,bk_ok,ervenyes,n_forward,n_unstable,bk_qz_criterium,bk_info_code,nearest_unit_complex
lambda,0,1,0.416895028578372,-0.412337528277852,0,NaN,1,1,1,1,13,13,1.000001,0,0.920559746821208
lambda,4,1,0.464420602523218,-0.0783527387958917,0.33398478948196,0.08349619737049,1,1,1,1,13,13,1.000001,0,0.931957382877564
lambda,10,1,0.533183599301029,0.366345449340907,0.778682977618758,0.0778682977618758,1,1,1,1,13,13,1.000001,0,0.952809861214663
lambda,20,1,0.641984255293548,0.994702350373024,1.40703987865088,0.0703519939325438,1,1,1,1,13,13,1.000001,0,0.97111056399031
lambda,40,1,0.841868260436843,1.97664262651954,2.38898015479739,0.0597245038699348,1,1,1,1,13,13,1.000001,0,0.983629689631651
lambda,60,1,1.02272712830013,2.73651583743406,3.14885336571191,0.0524808894285319,1,1,1,1,13,13,1.000001,0,0.997869912015214
lambda,80,1,1.18801689751731,3.36051345382597,3.77285098210383,0.0471606372762978,1,1,0,0,13,15,1.000001,3,1.0088400511918
lambda,100,1,1.34006391321517,3.89226596266377,4.30460349094162,0.0430460349094162,1,1,0,0,13,15,1.000001,3,1.01550794733793
lambda,140,1,1.61100844589875,4.76943251840173,5.18177004667958,0.0370126431905685,1,1,0,0,13,15,1.000001,3,0.977891935551517
omega,0,1,0.416895028578372,-0.412337528277852,0,NaN,1,1,1,1,13,13,1.000001,0,0.920559746821208
omega,4,1,0.464420602523218,-0.0783527387958917,0.33398478948196,0.08349619737049,1,1,1,1,13,13,1.000001,0,0.931957382877576
omega,10,1,0.533183599301029,0.366345449340907,0.778682977618758,0.0778682977618758,1,1,1,1,13,13,1.000001,0,0.952809861214653
omega,20,1,0.641984255293548,0.994702350373024,1.40703987865088,0.0703519939325438,1,1,1,1,13,13,1.000001,0,0.971110563990307
omega,40,1,0.841868260436843,1.97664262651954,2.38898015479739,0.0597245038699348,1,1,1,1,13,13,1.000001,0,0.983629689631653
omega,60,1,1.02272712830013,2.73651583743406,3.14885336571191,0.0524808894285319,1,1,1,1,13,13,1.000001,0,0.99786991201518
omega,80,1,1.18801689751731,3.36051345382597,3.77285098210383,0.0471606372762978,1,1,0,0,13,15,1.000001,3,1.0088400511918
omega,100,1,1.34006391321517,3.89226596266377,4.30460349094162,0.0430460349094162,1,1,0,0,13,15,1.000001,3,1.01550794733793
omega,140,1,1.61100844589875,4.76943251840173,5.18177004667958,0.0370126431905684,1,1,0,0,13,15,1.000001,3,0.977891935551519
egyutt,0,1,0.416895028578372,-0.412337528277852,0,NaN,1,1,1,1,13,13,1.000001,0,0.920559746821213
egyutt,4,1,0.41882418677646,-0.398307029118415,0.0140304991594369,0.00350762478985923,1,1,1,1,13,13,1.000001,0,0.920837956942004
egyutt,10,1,0.428912723050869,-0.325610090979208,0.0867274372986434,0.00867274372986434,1,1,1,1,13,13,1.000001,0,0.92248577975934
egyutt,20,1,0.464420602523218,-0.0783527387958917,0.33398478948196,0.016699239474098,1,1,1,1,13,13,1.000001,0,0.931957382877571
egyutt,40,1,0.599266621039564,0.757659191025861,1.16999671930371,0.0292499179825928,1,1,1,1,13,13,1.000001,0,0.965608597378043
egyutt,60,1,0.803555132596663,1.80203899467566,2.21437652295351,0.0369062753825585,1,1,1,1,13,13,1.000001,0,0.981421927767147
egyutt,80,1,1.05694479231341,2.87039756377418,3.28273509205203,0.0410341886506504,1,1,0,0,13,15,1.000001,3,1.00050440624966
egyutt,100,1,1.34006391321517,3.89226596266377,4.30460349094162,0.0430460349094162,1,1,0,0,13,15,1.000001,3,1.01550794733793
egyutt,140,1,1.93113989017503,5.72764216871923,6.13997969699708,0.0438569978356934,1,1,0,0,13,15,1.000001,3,0.975366349440637
