szorzat,lambda_skala,omega_skala,konvergalt,GDP_pct,KKV_minus_L_pp,solver_ok,bk_check_ok,bk_ok,ervenyes,n_forward,n_unstable,bk_qz_criterium,bk_info_code,nearest_unit_complex
10000,100,100,1,1.34006391321517,3.89226596266377,1,1,0,0,13,15,1.000001,3,1.01550794733793
10000,200,50,1,1.34006391321517,3.89226596266377,1,1,0,0,13,15,1.000001,3,1.01550794733793
10000,50,200,1,1.34006391321517,3.89226596266377,1,1,0,0,13,15,1.000001,3,1.01550794733794
10000,400,25,1,1.34006391321517,3.89226596266377,1,1,0,0,13,15,1.000001,3,1.01550794733793
10000,25,400,1,1.34006391321517,3.89226596266377,1,1,0,0,13,15,1.000001,3,1.01550794733792
2500,50,50,1,0.694001945931113,1.26877373824897,1,1,1,1,13,13,1.000001,0,0.975744207666043
2500,100,25,1,0.694001945931113,1.26877373824897,1,1,1,1,13,13,1.000001,0,0.975744207666031
2500,25,100,1,0.694001945931113,1.26877373824897,1,1,1,1,13,13,1.000001,0,0.975744207666038
2500,250,10,1,0.694001945931113,1.26877373824897,1,1,1,1,13,13,1.000001,0,0.97574420766605
2500,10,250,1,0.694001945931114,1.26877373824897,1,1,1,1,13,13,1.000001,0,0.975744207666052
