DECOMP,ag,OPTEN,kuszob,arany_a_0_aghoz,kuszob_bk_ok
0,0 alap (minden heterogen),0,36.5631103515625,1,1
1,A csak phi_j,0,9.3536376953125,0.255821717719723,1
2,B csak penzugyi,0,46.9635009765625,1.28445037976797,1
3,C csak aa_j,0,0,0,1
4,D technologia azonos,0,47.5921630859375,1.30164427009432,1
0,0 alap (minden heterogen),1,22.3602294921875,1,1
1,A csak phi_j,1,4.4769287109375,0.200218370410809,1
2,B csak penzugyi,1,22.6226806640625,1.011737409581,1
3,C csak aa_j,1,1.6082763671875,0.0719257540603248,1
4,D technologia azonos,1,22.9461669921875,1.02620444929712,1
