DECOMP,DECOMPW,OPTEN,accscale,SCENARIO,TSCEN,konvergalt,zeta_E,zeta_D,aa_E,aa_D,phi_E,phi_D,lev_E,lev_D,omega_acc_E,omega_acc_D,GDP_pct,y_E_pct,y_D_pct,y_L_pct,y_KKV_pct,KKV_minus_L_pp,D_minus_L_pp,E_minus_L_pp,solver_ok,bk_check_ok,bk_ok,ervenyes,n_forward,n_unstable,bk_qz_criterium,bk_info_code,nearest_unit_complex
0,1,1,100,1,1,1,0.14,0.17,0.45,0.8,0.3757,0,1.9385,1.7185,0.35,0.45,1.49013171894773,3.62708144095818,4.21057343175504,-1.85946960317798,3.87167321886894,5.73114282204692,6.07004303493302,5.48655104413617,1,1,0,0,13,15,1.000001,3,1.01550794733793
0,1,1,100,1,2,1,0.14,0.17,0.45,0.8,0.3757,0,1.9385,1.7185,0.35,0.45,1.18999610748261,1.49212117091106,1.84066181749195,-0.415164510615717,1.6382245926649,2.05338910328062,2.25582632810767,1.90728568152678,1,1,0,0,13,15,1.000001,3,1.01550794733793
0,1,1,100,1,3,1,0.14,0.17,0.45,0.8,0.3757,0,1.9385,1.7185,0.35,0.45,1.34006391321517,2.55960130593462,3.0256176246235,-1.13731705689685,2.75494890576692,3.89226596266377,4.16293468152035,3.69691836283147,1,1,0,0,13,15,1.000001,3,1.01550794733793
0,1,1,100,2,1,1,0.14,0.17,0.45,0.8,0.3757,0,1.9385,1.7185,0.35,0.45,2.02450680841423,4.92194336052203,5.71470197375377,-2.5191148791846,5.2542568142159,7.7733716934005,8.23381685293838,7.44105823970663,1,1,0,0,13,15,1.000001,3,1.01550794733793
0,1,1,100,2,2,1,0.14,0.17,0.45,0.8,0.3757,0,1.9385,1.7185,0.35,0.45,1.62087615851287,2.05078989390693,2.52757945802064,-0.576773547807764,2.25065348932082,2.82742703712858,3.10435300582841,2.6275634417147,1,1,0,0,13,15,1.000001,3,1.01550794733793
0,1,1,100,2,3,1,0.14,0.17,0.45,0.8,0.3757,0,1.9385,1.7185,0.35,0.45,1.82269148346355,3.48636662721448,4.12114071588721,-1.54794421349618,3.75245515176836,5.30039936526454,5.66908492938339,5.03431084071067,1,1,0,0,13,15,1.000001,3,1.01550794733793
0,1,1,100,3,1,1,0.14,0.17,0.45,0.8,0.3757,0,1.9385,1.7185,0.35,0.45,0.955756629481224,2.33221952139433,2.70644488975632,-1.19982432717136,2.48908962352197,3.68891395069333,3.90626921692768,3.53204384856569,1,1,0,0,13,15,1.000001,3,1.01550794733793
0,1,1,100,3,2,1,0.14,0.17,0.45,0.8,0.3757,0,1.9385,1.7185,0.35,0.45,0.759116056452358,0.933452447915183,1.15374417696325,-0.25355547342367,1.02579569600899,1.27935116943266,1.40729965038692,1.18700792133885,1,1,0,0,13,15,1.000001,3,1.01550794733793
0,1,1,100,3,3,1,0.14,0.17,0.45,0.8,0.3757,0,1.9385,1.7185,0.35,0.45,0.857436342966791,1.63283598465476,1.93009453335979,-0.726689900297517,1.75744265976548,2.484132560063,2.6567844336573,2.35952588495227,1,1,0,0,13,15,1.000001,3,1.01550794733793
1,1,1,100,1,1,1,0.1539335,0.1539335,0.598555,0.598555,0.3757,0,2.12135589,2.12135589,0.391918617867697,0.391918617867697,2.58715691557654,7.19301590750211,6.54000648502228,-3.48789840393322,6.91928338305274,10.407181786986,10.0279048889555,10.6809143114353,1,1,0,0,13,15,1.000001,3,1.01705792942175
1,1,1,100,1,2,1,0.1539335,0.1539335,0.598555,0.598555,0.3757,0,2.12135589,2.12135589,0.391918617867697,0.391918617867697,1.52464499088284,3.13114593307226,2.883515147373,-1.27779671503256,3.02734253029221,4.30513924532477,4.16131186240556,4.40894264810482,1,1,0,0,13,15,1.000001,3,1.01705792942175
1,1,1,100,1,3,1,0.1539335,0.1539335,0.598555,0.598555,0.3757,0,2.12135589,2.12135589,0.391918617867697,0.391918617867697,2.05590095322969,5.16208092028719,4.71176081619764,-2.38284755948289,4.97331295667247,7.35616051615536,7.09460837568052,7.54492847977007,1,1,0,0,13,15,1.000001,3,1.01705792942175
1,1,1,100,2,1,1,0.1539335,0.1539335,0.598555,0.598555,0.3757,0,2.12135589,2.12135589,0.391918617867697,0.391918617867697,3.51190399218425,9.76178779656344,8.87527970320253,-4.73004476455895,9.39017585654127,14.1202206211002,13.6053244677615,14.4918325611224,1,1,0,0,13,15,1.000001,3,1.01705792942175
1,1,1,100,2,2,1,0.1539335,0.1539335,0.598555,0.598555,0.3757,0,2.12135589,2.12135589,0.391918617867697,0.391918617867697,2.08300864518236,4.29927300336467,3.95792928360521,-1.75783904500289,4.15618643386332,5.91402547886621,5.7157683286081,6.05711204836756,1,1,0,0,13,15,1.000001,3,1.01705792942175
1,1,1,100,2,3,1,0.1539335,0.1539335,0.598555,0.598555,0.3757,0,2.12135589,2.12135589,0.391918617867697,0.391918617867697,2.7974563186833,7.03053039996406,6.41660449340387,-3.24394190478092,6.7731811452023,10.0171230499832,9.66054639818479,10.274472304745,1,1,0,0,13,15,1.000001,3,1.01705792942175
1,1,1,100,3,1,1,0.1539335,0.1539335,0.598555,0.598555,0.3757,0,2.12135589,2.12135589,0.391918617867697,0.391918617867697,1.66240983896884,4.62424401844079,4.20473326684204,-2.24575204330748,4.4483909095642,6.69414295287169,6.45048531014952,6.86999606174827,1,1,0,0,13,15,1.000001,3,1.01705792942175
1,1,1,100,3,2,1,0.1539335,0.1539335,0.598555,0.598555,0.3757,0,2.12135589,2.12135589,0.391918617867697,0.391918617867697,0.966281336583308,1.96301886277985,1.80910101114078,-0.797754385062227,1.8984986267211,2.69625301178333,2.60685539620301,2.76077324784208,1,1,0,0,13,15,1.000001,3,1.01705792942175
1,1,1,100,3,3,1,0.1539335,0.1539335,0.598555,0.598555,0.3757,0,2.12135589,2.12135589,0.391918617867697,0.391918617867697,1.31434558777607,3.29363144061032,3.00691713899141,-1.52175321418486,3.17344476814265,4.69519798232751,4.52867035317627,4.81538465479518,1,1,0,0,13,15,1.000001,3,1.01705792942175
2,1,1,100,1,1,1,0.1539335,0.1539335,0.598555,0.598555,0.30037184,0.30037184,1.9385,1.7185,0.35,0.45,1.67131750716436,3.61441160443569,4.78259920650904,-2.1113019189009,4.10409970132663,6.21540162022753,6.89390112540993,5.72571352333659,1,1,0,0,13,15,1.000001,3,1.0155728483707
2,1,1,100,1,2,1,0.1539335,0.1539335,0.598555,0.598555,0.30037184,0.30037184,1.9385,1.7185,0.35,0.45,1.2721736684151,1.5101977634782,2.1374945843856,-0.555865053034292,1.77315192073059,2.32901697376488,2.69335963741989,2.06606281651249,1,1,0,0,13,15,1.000001,3,1.0155728483707
2,1,1,100,1,3,1,0.1539335,0.1539335,0.598555,0.598555,0.30037184,0.30037184,1.9385,1.7185,0.35,0.45,1.47174558778973,2.56230468395695,3.46004689544732,-1.3335834859676,2.93862581102861,4.2722092969962,4.79363038141491,3.89588816992454,1,1,0,0,13,15,1.000001,3,1.0155728483707
2,1,1,100,2,1,1,0.1539335,0.1539335,0.598555,0.598555,0.30037184,0.30037184,1.9385,1.7185,0.35,0.45,2.27037755699459,4.90461516006236,6.49069151679245,-2.86063091319505,5.56947644712994,8.43010736032498,9.35132242998749,7.7652460732574,1,1,0,0,13,15,1.000001,3,1.0155728483707
2,1,1,100,2,2,1,0.1539335,0.1539335,0.598555,0.598555,0.30037184,0.30037184,1.9385,1.7185,0.35,0.45,1.73359791178007,2.07481033946435,2.93348185255749,-0.768836507374438,2.43475356977663,3.20359007715107,3.70231835993192,2.84364684683878,1,1,0,0,13,15,1.000001,3,1.0155728483707
2,1,1,100,2,3,1,0.1539335,0.1539335,0.598555,0.598555,0.30037184,0.30037184,1.9385,1.7185,0.35,0.45,2.00198773438733,3.48971274976335,4.71208668467497,-1.81473371028474,4.00211500845328,5.81684871873803,6.52682039495971,5.30444646004809,1,1,0,0,13,15,1.000001,3,1.0155728483707
2,1,1,100,3,1,1,0.1539335,0.1539335,0.598555,0.598555,0.30037184,0.30037184,1.9385,1.7185,0.35,0.45,1.07225745733413,2.32420804880903,3.07450689622562,-1.36197292460675,2.63872295552333,4.00069588013008,4.43647982083237,3.68618097341578,1,1,0,0,13,15,1.000001,3,1.0155728483707
2,1,1,100,3,2,1,0.1539335,0.1539335,0.598555,0.598555,0.30037184,0.30037184,1.9385,1.7185,0.35,0.45,0.810749425050136,0.945585187492055,1.34150731621372,-0.342893598694147,1.11155027168454,1.45444387037869,1.68440091490786,1.2884787861862,1,1,0,0,13,15,1.000001,3,1.0155728483707
2,1,1,100,3,3,1,0.1539335,0.1539335,0.598555,0.598555,0.30037184,0.30037184,1.9385,1.7185,0.35,0.45,0.941503441192135,1.63489661815054,2.20800710621967,-0.852433261650449,1.87513661360393,2.72756987525438,3.06044036787012,2.48732987980099,1,1,0,0,13,15,1.000001,3,1.0155728483707
3,1,1,100,1,1,1,0.1539335,0.1539335,0.45,0.8,0.30037184,0.30037184,2.12135589,2.12135589,0.391918617867697,0.391918617867697,2.7471679958248,7.1513017194349,6.81162620494024,-3.67637054868793,7.00891443852375,10.6852849872117,10.4879967536282,10.8276722681228,1,1,0,0,13,15,1.000001,3,1.01653238021254
3,1,1,100,1,2,1,0.1539335,0.1539335,0.45,0.8,0.30037184,0.30037184,2.12135589,2.12135589,0.391918617867697,0.391918617867697,1.58905387282766,3.1535347081229,2.93532411773372,-1.35792261122724,3.06206384459081,4.41998645581805,4.29324672896096,4.51145731935014,1,1,0,0,13,15,1.000001,3,1.01653238021254
3,1,1,100,1,3,1,0.1539335,0.1539335,0.45,0.8,0.30037184,0.30037184,2.12135589,2.12135589,0.391918617867697,0.391918617867697,2.16811093432623,5.15241821377891,4.87347516133697,-2.51714657995759,5.03548914155728,7.55263572151487,7.39062174129456,7.66956479373649,1,1,0,0,13,15,1.000001,3,1.01653238021254
3,1,1,100,2,1,1,0.1539335,0.1539335,0.45,0.8,0.30037184,0.30037184,2.12135589,2.12135589,0.391918617867697,0.391918617867697,3.72905626723343,9.70466101651697,9.2446838338039,-4.98569841583598,9.51184493901688,14.4975433548529,14.2303822496399,14.690359432353,1,1,0,0,13,15,1.000001,3,1.01653238021254
